代码,名称,流通市值,最后封板时间,连板数,所属行业
000957,中通客车,8905417118.72,145445,13,汽车整车
001318,阳光乳业,1875671000.0,105406,8,食品饮料
000595,宝塔实业,7431427097.9800005,092500,6,通用设备
000025,特  力Ａ,7741660687.200001,093845,5,汽车服务
002181,粤 传 媒,6307445128.12,094430,4,文化传媒
000635,英 力 特,3700699620.42,142339,3,化学原料
000985,大庆华科,2903924800.0,143112,3,化学制品
002066,瑞泰科技,3229380000.0,093021,3,装修建材
000151,中成股份,4717828215.9,092500,3,贸易行业
600652,退市游久,915973847.8000001,092502,3,游戏
600058,五矿发展,10247466397.16,101138,2,贸易行业
000767,晋控电力,11474235339.68,095612,2,电力行业
688150,莱特光电,718652343.22,104800,2,光学光电
002401,中远海科,3761289045.0,094545,2,互联网服
603069,海汽集团,4594640000.0,092503,2,铁路公路
600127,金健米业,6648874138.48,093859,2,农牧饲渔
688793,倍轻松,853498260.0,111100,2,家电行业
002564,天沃科技,4160005807.16,092500,2,专业服务
000523,广州浪奇,5713894059.3,095427,2,美容护理
000420,吉林化纤,8885769431.699999,104036,2,化纤行业
600268,国电南自,6375581737.28,103437,2,电网设备
600550,保变电气,10367805342.4,103333,2,电网设备
002189,中光学,3787083691.6500006,105230,2,光学光电
