代码,名称,流通市值,最后封板时间,连板数,所属行业
603069,海汽集团,6727640000.0,092505,6,铁路公路
002630,华西能源,3079281738.84,092500,4,电源设备
002323,雅博股份,9945102517.980001,093030,3,装修建材
000619,海螺新材,3020400000.0,092500,3,装修建材
603051,鹿山新材,1249522960.0,140506,3,塑料制品
000599,青岛双星,4336913066.67,141248,3,橡胶制品
600536,中国软件,23917056137.52,142833,2,互联网服
002652,扬子新材,1595932178.88,093151,2,装修建材
601886,江河集团,8193755000.0,142921,2,装修装饰
002426,胜利精密,6943840341.76,094206,2,通用设备
000953,河化股份,2245848965.1,132900,2,化学制药
600182,S*ST佳通,1900600000.0,102616,2,橡胶制品
002565,顺灏股份,5064453134.4,132824,2,包装材料
603396,金辰股份,8182631676.280001,133859,2,光伏设备
002218,拓日新能,8086780727.85,093018,2,光伏设备
603318,水发燃气,3088351136.35,092505,2,燃气
600870,退市厦华,235439849.25,092505,2,互联网服
600652,退市游久,1074187512.42,105634,2,游戏
002897,意华股份,7445016716.74,092500,2,通信设备
001270,铖昌科技,959923190.0000001,092500,2,半导体
