代码,名称,流通市值,最后封板时间,连板数,所属行业
000957,中通客车,8093138726.400001,143027,12,汽车整车
001318,阳光乳业,1705284000.0,105800,7,食品饮料
002121,科陆电子,7880266642.799999,143727,5,电网设备
000595,宝塔实业,6759981158.040001,092500,5,通用设备
600283,钱江水利,7035205456.94,093102,5,公用事业
000025,特  力Ａ,7038587494.400001,092500,4,汽车服务
600081,东风科技,4919756400.0,102107,4,汽车零部
002660,茂硕电源,2707614468.0899997,093930,4,消费电子
605366,宏柏新材,4265957438.1000004,103148,3,化学制品
000880,潍柴重机,1804863060.0000002,100757,3,通用设备
002181,粤 传 媒,5728884513.849999,100054,3,文化传媒
002761,浙江建投,20265413263.04,144106,3,工程建设
003009,中天火箭,2203690753.86,101527,3,航天航空
600780,通宝能源,6879015138.0,144002,2,电力行业
600099,林海股份,2285421600.0,093309,2,交运设备
600495,晋西车轴,5279794171.82,143441,2,交运设备
000599,青岛双星,3642680278.22,092500,2,橡胶制品
000985,大庆华科,2639460220.0,094439,2,化学制品
000026,飞亚达,3937907787.0,093621,2,珠宝首饰
605399,晨光新材,3606613892.8,135202,2,化学制品
002659,凯文教育,2706140527.3999996,134651,2,教育
600284,浦东建设,8596468160.0,093443,2,工程建设
600661,昂立教育,2897008671.2999997,145421,2,教育
000635,英 力 特,3364272382.2,112836,2,化学原料
600962,国投中鲁,3304800200.0,092504,2,食品饮料
600652,退市游久,832703498.0,093208,2,游戏
600213,亚星客车,2378200000.0,145017,2,汽车整车
600636,国新文化,3743816797.5,093016,2,教育
000151,中成股份,4288692429.0299997,092500,2,贸易行业
002066,瑞泰科技,2936010000.0,093009,2,装修建材
