代码,名称,流通市值,最后封板时间,连板数,所属行业
603069,海汽集团,8140160000.000001,092505,8,铁路公路
002630,华西能源,3730107847.68,092500,6,电源设备
001270,铖昌科技,1161467925.0,092500,4,半导体
002380,科远智慧,1889083606.5,093009,3,互联网服
002478,常宝股份,3398544369.36,093012,3,钢铁行业
002608,江苏国信,27806666621.440002,093515,2,电力行业
002482,广田集团,3532682066.76,134539,2,装修装饰
600397,安源煤业,3949939929.1800003,145058,2,煤炭行业
600903,贵州燃气,9811154932.74,093345,2,燃气
601788,光大证券,55709525444.14,135835,2,证券
600653,申华控股,5099516430.54,131449,2,汽车服务
000633,合金投资,2568625490.91,100848,2,小金属
600335,国机汽车,9833986793.35,092506,2,汽车服务
