代码,名称,流通市值,最后封板时间,连板数,所属行业
002766,索菱股份,5903249104.7,093130,7,互联网服
001319,铭科精技,1220282000.0,092500,6,汽车零部
603097,江苏华辰,791600000.0,092505,6,电网设备
000957,中通客车,4150327552.0,092500,5,汽车整车
000609,中迪投资,1904420423.4399998,093536,4,房地产开
603767,中马传动,3372229950.0,145152,3,汽车零部
002811,郑中设计,2934943715.34,141103,3,装修装饰
603628,清源股份,3444404000.0,112636,3,光伏设备
002309,中利集团,4116291825.6000004,105009,3,光伏设备
002887,绿茵生态,1848787582.2,093427,3,环保行业
000985,大庆华科,2625199875.0,093200,3,化学制品
000779,甘咨询,2888402066.7,093015,3,工程咨询
000909,数源科技,3335719469.04,092500,3,综合行业
603612,索通发展,9965474844.880001,092504,3,非金属材
002305,南国置业,5838356533.7,093948,2,房地产开
002607,中公教育,9652999563.9,095154,2,教育
002561,徐家汇,7235593361.1,141806,2,商业百货
002943,宇晶股份,2837386752.2999997,111030,2,通用设备
002775,文科园林,2297475656.7000003,144427,2,工程建设
000635,英 力 特,2833869078.7,132442,2,化学原料
000151,中成股份,2484189772.44,092500,2,贸易行业
600841,动力新科,2626554374.1,144919,2,汽车零部
000017,深中华A,1139208590.08,093003,2,交运设备
002871,伟隆股份,966250608.75,093048,2,通用设备
002116,中国海诚,4276473331.7799997,093000,2,工程咨询
