代码,名称,流通市值,最后封板时间,连板数,所属行业
603069,海汽集团,10835640000.0,144021,11,铁路公路
001270,铖昌科技,1546108085.0,092500,7,半导体
600121,郑州煤电,8309570099.160001,100457,4,煤炭行业
001212,中旗新材,1466975699.9999998,105930,3,装修装饰
002160,常铝股份,4467220219.17,093027,3,有色金属
002708,光洋股份,2936359993.2,132718,3,汽车零部
002909,集泰股份,2885552790.1200004,092500,3,化学制品
600870,退市厦华,334847785.6,092504,3,互联网服
002101,广东鸿图,9085932757.88,140609,3,汽车零部
002657,中科金财,4614467284.96,142927,2,互联网服
600753,东方银星,3126681600.0,130352,2,贸易行业
002674,兴业科技,3558837152.64,145630,2,纺织服装
000800,一汽解放,15472824694.880001,094654,2,汽车整车
002703,浙江世宝,3500860001.16,095103,2,汽车零部
000502,绿景退,115509212.91,131118,2,房地产服
002512,达华智能,3473478609.48,111048,2,计算机设
002876,三利谱,5600833515.900001,143342,2,光学光电
002971,和远气体,2875475699.0,093042,2,化学制品
