代码,名称,流通市值,最后封板时间,连板数,所属行业
000957,中通客车,7357937845.76,094230,11,汽车整车
603272,联翔股份,819430502.5,092503,6,装修装饰
001318,阳光乳业,1550451000.0,093957,6,食品饮料
000595,宝塔实业,6145437416.400001,092500,4,通用设备
002121,科陆电子,7168194355.8,094739,4,电网设备
600283,钱江水利,6396283134.96,095834,4,公用事业
600081,东风科技,4471365600.0,145315,3,汽车零部
002660,茂硕电源,2460719531.79,095454,3,消费电子
000025,特  力Ａ,6398358832.799999,093139,3,汽车服务
600686,金龙汽车,5443826068.47,145151,3,汽车整车
002420,毅昌科技,3041339385.81,093003,3,家电行业
000404,长虹华意,4063277948.48,092500,3,家电行业
002761,浙江建投,18423102966.399998,112745,2,工程建设
600403,大有能源,15612004985.060001,145024,2,煤炭行业
603789,星光农机,2490800000.0,131049,2,专用设备
605366,宏柏新材,3877701926.1,094605,2,化学制品
002181,粤 传 媒,5207045528.43,130354,2,文化传媒
000756,新华制药,16842442992.0,142600,2,化学制药
000880,潍柴重机,1641079439.9999998,110424,2,通用设备
603316,诚邦股份,1918556640.0,145549,2,工程建设
002350,北京科锐,3862874511.6,093000,2,电网设备
003009,中天火箭,2003435252.96,093012,2,航天航空
002213,大为股份,2640920000.0,094312,2,汽车零部
