代码,名称,流通市值,最后封板时间,连板数,所属行业
001270,铖昌科技,2489818245.0,093627,12,半导体
002909,集泰股份,4650151488.84,140357,8,化学制品
002703,浙江世宝,5641196210.4,143033,7,汽车零部
000611,天首退,479122975.5,143736,3,化肥行业
603530,神马电力,1094789404.05,142505,3,电网设备
002454,松芝股份,5153506350.72,092500,3,汽车零部
300660,江苏雷利,4279949072.3,144342,3,电机
000037,深南电A,3161891805.48,135824,3,电力行业
002347,泰尔股份,1894755450.9399998,093457,2,通用设备
003028,振邦智能,1033801999.9999999,132442,2,消费电子
002380,科远智慧,2521608229.8,110948,2,互联网服
002204,大连重工,9000184349.12,141442,2,工程机械
002988,豪美新材,1569006658.1699998,145609,2,有色金属
600215,派斯林,3813269615.9999995,093001,2,房地产开
