代码,名称,流通市值,最后封板时间,连板数,所属行业
002883,中设股份,1687288408.68,112945,6,工程咨询
002766,索菱股份,4877225392.5,145348,5,互联网服
603097,江苏华辰,654000000.0,092504,4,电网设备
000548,湖南投资,3494321677.0,143730,4,铁路公路
001319,铭科精技,1008535500.0,092500,4,汽车零部
000957,中通客车,3426984750.08,094227,3,汽车整车
002292,奥飞娱乐,4886236166.4,093324,3,文化传媒
002141,贤丰控股,6070412376.65,145030,3,电子元件
002593,日上集团,2200457211.4700003,093545,2,汽车零部
600228,返利科技,2063286000.0000002,140109,2,互联网服
000609,中迪投资,1574359828.58,092500,2,房地产开
002346,柘中股份,5785316950.62,133212,2,电网设备
002885,京泉华,2298289742.0,133833,2,消费电子
600395,盘江股份,15954699940.04,130728,2,煤炭行业
600238,海南椰岛,6185521962.0,130548,1,酿酒行业
605333,沪光股份,1216360800.0,112817,1,汽车零部
002655,共达电声,3955267480.5,130245,1,消费电子
002887,绿茵生态,1527691081.8,111806,1,环保行业
002868,绿康生化,1872760835.8500001,112454,1,农药兽药
002229,鸿博股份,2660766616.68,141033,1,造纸印刷
603501,韦尔股份,128801079481.37999,140607,1,半导体
000951,中国重汽,13545165758.039999,110318,1,汽车整车
002342,巨力索具,3569214375.0,142627,1,通用设备
002623,亚玛顿,4455408283.75,132351,1,光伏设备
002309,中利集团,3399752137.44,131736,1,光伏设备
002218,拓日新能,6450005211.750001,131839,1,光伏设备
000909,数源科技,2758457911.68,131033,1,综合行业
603628,清源股份,2847520000.0,141020,1,光伏设备
002620,瑞和股份,1907333001.21,140536,1,装修装饰
002289,宇顺电子,1484799689.46,133630,1,光学光电
002291,星期六,12603572190.72,133806,1,纺织服装
002681,奋达科技,3711221673.17,140421,1,消费电子
002667,鞍重股份,4887920325.0,134536,1,专用设备
000657,中钨高新,11779841764.9,140627,1,小金属
002811,郑中设计,2424945141.58,140515,1,装修装饰
002068,黑猫股份,7248253269.620001,142151,1,橡胶制品
002685,华东重机,2864770071.68,143933,1,通用设备
600193,创兴资源,2331044040.0,143917,1,装修装饰
301039,中集车辆,2045688151.76,140306,1,汽车整车
601968,宝钢包装,6173003206.7,104142,1,包装材料
002183,怡 亚 通,20445641905.26,105327,1,物流行业
601368,绿城水务,5918760641.76,141214,1,公用事业
000886,海南高速,4139322341.5,092500,1,房地产开
002133,广宇集团,3364332778.37,103557,1,房地产开
603612,索通发展,8237033922.389999,092506,1,非金属材
600287,江苏舜天,2245131820.3599997,093020,1,商业百货
000068,华控赛格,3442816406.88,093118,1,环保行业
600227,圣济堂,4256337891.51,095426,1,化学制药
600267,海正药业,15047935242.92,093417,1,化学制药
002828,贝肯能源,1183610995.2,093406,1,采掘行业
000779,甘咨询,2386769816.5499997,093512,1,工程咨询
002629,仁智股份,1285331080.59,093554,1,采掘行业
600696,岩石股份,9492242451.779999,094223,1,酿酒行业
000985,大庆华科,2170165230.0,093803,1,化学制品
002490,山东墨龙,2215207395.0,093818,1,专用设备
000908,景峰医药,2920989764.0,094757,1,化学制药
601279,英利汽车,1221501156.25,102529,1,汽车零部
603767,中马传动,2785887265.0,102202,1,汽车零部
000037,深南电A,2382432946.6800003,094606,1,电力行业
605011,杭州热电,729018000.0,103237,1,公用事业
603399,吉翔股份,11095826174.16,095104,1,小金属
002805,丰元股份,3900921670.7999997,095127,1,化学原料
000408,藏格矿业,43550022396.5,095442,1,化肥行业
603045,福达合金,2299630200.0,100707,1,有色金属
600898,国美通讯,2189381519.4,104120,1,消费电子
600077,宋都股份,5802729671.58,103808,1,房地产开
601633,长城汽车,194899443812.69998,104950,1,汽车整车
603266,天龙股份,3347264002.4999995,145457,1,塑料制品
