代码,名称,流通市值,最后封板时间,连板数,所属行业
603097,江苏华辰,1054000000.0,092503,9,电网设备
000957,中通客车,5525864683.52,130154,8,汽车整车
000151,中成股份,3307810630.4700003,135224,5,贸易行业
002529,海源复材,4882800000.0,111503,4,专用设备
603166,福达股份,6507321115.570001,092503,4,汽车零部
603937,丽岛新材,2863744800.0,092503,4,有色金属
001318,阳光乳业,1165136000.0,092500,3,食品饮料
603272,联翔股份,615544380.0,092502,3,装修装饰
600593,大连圣亚,2228240000.0,093843,3,旅游酒店
002860,星帅尔,3046643296.39,140433,2,家电行业
605577,龙版传媒,565333340.4,100408,2,文化传媒
000756,新华制药,13530677647.2,145454,2,化学制药
002137,实益达,2234041907.24,093151,2,电子元件
600817,宇通重工,1925319304.65,145621,2,工程机械
603590,康辰药业,4857600000.0,093048,2,生物制品
002576,通达动力,2114380166.4399998,092500,2,电机
002571,德力股份,1959871655.16,105745,2,家用轻工
002496,辉丰股份,3834386121.68,105333,2,农药兽药
002016,世荣兆业,4959025463.04,103406,1,房地产开
002973,侨银股份,1345746899.52,144342,1,环保行业
000517,荣安地产,9563442270.28,145609,1,房地产开
002007,华兰生物,30226491353.52,141018,1,生物制品
002956,西麦食品,1414626788.96,133342,1,食品饮料
000798,中水渔业,3034466250.0,131554,1,农牧饲渔
000572,海马汽车,9672294269.359999,130639,1,汽车整车
001219,青岛食品,694416000.0,133233,1,食品饮料
002355,兴民智通,3030288251.5,141657,1,汽车零部
601015,陕西黑猫,12112010999.269999,145212,1,煤炭行业
002140,东华科技,5951302310.25,104018,1,工程建设
002406,远东传动,2763548431.67,093712,1,汽车零部
002277,友阿股份,5423332192.0,130739,1,商业百货
002424,贵州百灵,7440911446.8,102430,1,中药
605196,华通线缆,2600684916.9399996,144057,1,电网设备
000595,宝塔实业,4609078062.3,105854,1,通用设备
003039,顺控发展,2628026758.5,102109,1,公用事业
000010,美丽生态,1916369397.6599998,093854,1,工程建设
600283,钱江水利,4804272266.38,132737,1,公用事业
600098,广州发展,17327172792.24,094126,1,电力行业
600297,广汇汽车,21088761730.4,140542,1,汽车服务
002862,实丰文化,984439579.4000001,092500,1,家用轻工
002846,英联股份,1495298196.59,092500,1,包装材料
002121,科陆电子,5388013638.3,092500,1,电网设备
603696,安记食品,2558976000.0,145629,1,食品饮料
