代码,名称,流通市值,最后封板时间,连板数,所属行业
603069,海汽集团,8140160000.000001,092505,8,铁路公路
002630,华西能源,3730107847.68,092500,6,电源设备
001270,铖昌科技,1161467925.0,092500,4,半导体
002380,科远智慧,1889083606.5,093009,3,互联网服
002478,常宝股份,3398544369.36,093012,3,钢铁行业
002608,江苏国信,27806666621.440002,093515,2,电力行业
002482,广田集团,3532682066.76,134539,2,装修装饰
600397,安源煤业,3949939929.1800003,145058,2,煤炭行业
600903,贵州燃气,9811154932.74,093345,2,燃气
601788,光大证券,55709525444.14,135835,2,证券
600653,申华控股,5099516430.54,131449,2,汽车服务
000633,合金投资,2568625490.91,100848,2,小金属
600335,国机汽车,9833986793.35,092506,2,汽车服务
000702,正虹科技,1490487279.84,104351,1,农牧饲渔
002539,云图控股,12055108464.16,104757,1,化肥行业
605399,晨光新材,3759676972.48,141149,1,化学制品
000613,东海A退,147292090.0,104448,1,旅游酒店
600121,郑州煤电,6250453754.94,140502,1,煤炭行业
002999,天禾股份,1901457040.0000002,131809,1,化肥行业
002061,浙江交科,12367454796.5,133300,1,工程建设
000833,粤桂股份,4087099087.82,130045,1,综合行业
000737,北方铜业,3868758000.0,141006,1,有色金属
603477,巨星农牧,10492064589.6,142455,1,农牧饲渔
601069,西部黄金,8198040000.0,143314,1,贵金属
003022,联泓新科,9430902000.0,145630,1,化学制品
600610,中毅达,7008307014.5,143034,1,化学原料
600864,哈投股份,10985412345.6,145220,1,证券
600820,隧道股份,20373742689.120003,104442,1,工程建设
000096,广聚能源,5399663360.0,095300,1,石油行业
002205,国统股份,2531184765.3599997,095054,1,水泥建材
600986,浙文互联,7722965556.559999,133616,1,文化传媒
002629,仁智股份,1350803709.36,095145,1,采掘行业
002207,准油股份,2353960431.25,094451,1,采掘行业
000584,哈工智能,4244620299.4700003,145409,1,专用设备
000540,中天金融,13530385405.98,105542,1,房地产开
000554,泰山石油,2288319670.1,093733,1,石油行业
002305,南国置业,5387919531.099999,144248,1,房地产开
002339,积成电子,3158602312.7999997,093536,1,电网设备
002492,恒基达鑫,2739146384.96,102557,1,物流行业
600509,天富能源,6160070340.95,093400,1,电力行业
002385,大北农,25218141420.15,095233,1,农牧饲渔
002591,恒大高新,1174405442.82,093006,1,综合行业
002840,华统股份,6791176322.940001,144245,1,食品饮料
