代码,名称,流通市值,最后封板时间,连板数,所属行业
001270,铖昌科技,2057657135.0,092500,10,半导体
002909,集泰股份,3843787739.2200003,092500,6,化学制品
002703,浙江世宝,4662282750.36,145448,5,汽车零部
000017,深中华A,1339176055.36,093300,3,交运设备
002160,常铝股份,4870563782.400001,104115,2,有色金属
002618,丹邦退,619149600.0,100557,2,电子元件
002995,天地在线,1048283778.3,094115,2,文化传媒
000821,京山轻机,8098278983.580001,094030,2,专用设备
002824,和胜股份,7466021996.4,141648,2,有色金属
002927,泰永长征,2595940274.6,094539,2,电网设备
002514,宝馨科技,3357447639.8399997,093003,2,通用设备
600854,春兰股份,3184280837.94,131154,1,家电行业
000601,韶能股份,6986705723.07,144439,1,电力行业
688155,先惠技术,3439171305.6000004,112422,1,专用设备
600366,宁波韵升,11641868496.17,130442,1,小金属
000584,哈工智能,4602690201.71,105706,1,专用设备
603070,万控智造,1299600000.0,130650,1,电网设备
000880,潍柴重机,1822700880.0,104051,1,通用设备
000816,智慧农业,6184806821.2,130957,1,通用设备
000957,中通客车,11253316705.28,131603,1,汽车整车
002469,三维化学,3561576382.8,131654,1,工程建设
002536,飞龙股份,3147100651.3599997,131803,1,汽车零部
002126,银轮股份,7851754663.400001,130242,1,汽车零部
300602,飞荣达,4513147842.17,145321,1,消费电子
601966,玲珑轮胎,32986758369.23,132036,1,橡胶制品
002892,科力尔,2457737598.91,102606,1,电机
600973,宝胜股份,6447610804.450001,132334,1,电网设备
601236,红塔证券,26273766315.55,132530,1,证券
002576,通达动力,2191655335.82,141109,1,电机
000996,中国中期,2628900000.0,141439,1,汽车服务
600367,红星发展,6945120000.0,134005,1,化学原料
000661,长春高新,80278386329.2,142733,1,生物制品
603396,金辰股份,9768350063.22,135705,1,光伏设备
603606,东方电缆,45354828519.6,142733,1,电网设备
000762,西藏矿业,28534386431.22,143127,1,采掘行业
300660,江苏雷利,2972117127.04,145000,1,电机
603192,汇得科技,3328000008.0,112310,1,化学制品
603218,日月股份,24547836667.93,140957,1,风电设备
605378,野马电池,746816000.0,102303,1,电池
603530,神马电力,904736854.04,094425,1,电网设备
600207,安彩高科,5583325151.78,092504,1,光伏设备
300731,科创新源,2370748051.3599997,093942,1,橡胶制品
000570,苏常柴Ａ,2629067698.02,093100,1,汽车零部
000010,美丽生态,2271446016.2999997,093115,1,工程建设
002388,新亚制程,2687179580.7999997,093133,1,电子元件
000637,茂化实华,1906249173.78,110221,1,石油行业
000678,襄阳轴承,2417558052.22,093239,1,汽车零部
002971,和远气体,2832211660.96,094400,1,化学制品
002666,德联集团,2624310796.82,093748,1,化学制品
000037,深南电A,2612881652.7599998,094054,1,电力行业
002487,大金重工,18903654685.440002,095130,1,风电设备
601700,风范股份,5944980014.2,094257,1,电网设备
300337,银邦股份,6673986435.8,130045,1,有色金属
002176,江特电机,44054964873.99,133503,1,电机
601702,华峰铝业,3257339600.0,112605,1,有色金属
603186,华正新材,3361444504.64,095053,1,电子元件
000611,天首退,396074993.08,095303,1,化肥行业
002363,隆基机械,2997616384.07,095430,1,汽车零部
603985,恒润股份,8205742272.0,112620,1,通用设备
002239,奥特佳,9891822277.949999,095630,1,汽车零部
002125,湘潭电化,10441197008.0,110351,1,化学原料
600335,国机汽车,10081123634.23,100114,1,汽车服务
603051,鹿山新材,1430326540.0,100445,1,塑料制品
002454,松芝股份,4259147845.68,092500,1,汽车零部
603507,振江股份,3601565280.0,100957,1,风电设备
002531,天顺风能,28074050043.809998,144833,1,风电设备
603392,万泰生物,32694951307.489998,145306,1,医疗器械
