代码,名称,流通市值,最后封板时间,连板数,所属行业
002909,集泰股份,5630082323.58,104151,10,化学制品
002703,浙江世宝,6824741297.68,093254,9,汽车零部
002454,松芝股份,6235492514.160001,092500,5,汽车零部
603530,神马电力,1325309417.18,135347,5,电网设备
002347,泰尔股份,2295425081.87,093015,4,通用设备
003028,振邦智能,1241768000.0,093000,4,消费电子
002638,勤上股份,2779327477.17,093148,3,教育
002031,巨轮智能,4653371822.5,093718,3,专用设备
001226,拓山重工,729121302.0,092500,2,通用设备
000868,安凯客车,4495307799.84,093751,2,汽车整车
000017,深中华A,1830005288.32,102500,2,交运设备
002101,广东鸿图,10508584627.42,103554,2,汽车零部
002860,星帅尔,3201286125.7999997,095142,2,家电行业
002753,永东股份,2515246465.8199997,112118,2,橡胶制品
001319,铭科精技,1184932000.0,100721,2,汽车零部
002058,威尔泰,1859099975.19,093354,2,电网设备
000821,京山轻机,10791798470.46,141548,2,专用设备
603758,秦安股份,3971113293.4500003,092505,2,汽车零部
002674,兴业科技,3888145135.92,150000,2,纺织服装
002178,延华智能,4003868048.08,131121,2,软件开发
600833,第一医药,2503028813.34,104159,2,医药商业
600178,东安动力,3765952000.0,135908,2,汽车零部
002866,传艺科技,2357831105.52,130030,1,消费电子
600577,精达股份,11834892801.029999,140829,1,电网设备
600893,XD航发动,100135183601.1,140551,1,航天航空
002519,银河电子,4838938935.389999,145027,1,家电行业
688071,华依科技,683315449.6,133657,1,汽车零部
002540,亚太科技,6005846648.23,143224,1,有色金属
002902,铭普光磁,1864060553.6200001,111857,1,通信设备
603596,伯特利,33820307019.0,144342,1,汽车零部
002011,盾安环境,10462721092.34,135209,1,家电行业
002518,科士达,17989653821.48,112651,1,电源设备
000887,中鼎股份,26146556747.6,142600,1,橡胶制品
002335,科华数据,11743534187.91,112209,1,电源设备
002255,海陆重工,3542819956.5,130030,1,电源设备
002885,京泉华,3939752468.26,130015,1,消费电子
603322,超讯通信,2962923600.0,112330,1,通信服务
300217,东方电热,6350299925.16,141021,1,家电行业
601066,中信建投,113959724338.2,132620,1,证券
605208,永茂泰,2203659000.0,144939,1,汽车零部
000852,石化机械,5217729529.87,131642,1,专用设备
603090,宏盛股份,2853000000.0,140205,1,通用设备
600399,抚顺特钢,33624305000.0,132701,1,钢铁行业
000996,中国中期,2590950000.0,133324,1,汽车服务
600478,科力远,15278609151.199999,145303,1,电子元件
000733,振华科技,70839802823.3,144230,1,电子元件
002785,万里石,4077287616.38,144048,1,装修建材
000625,长安汽车,127110807094.47,143630,1,汽车整车
000025,特  力Ａ,11229532168.8,143506,1,汽车服务
002405,四维图新,33097498291.2,141906,1,软件开发
000678,襄阳轴承,2822016433.58,141012,1,汽车零部
603348,文灿股份,15829651278.87,140915,1,汽车零部
603897,长城科技,6587362580.71,140630,1,电网设备
603786,科博达,2741637000.0,140625,1,汽车零部
002472,双环传动,19132833846.120003,142436,1,汽车零部
000937,冀中能源,23456260724.940002,111209,1,煤炭行业
002312,川发龙蟒,20893073446.72,140003,1,化肥行业
603876,鼎胜新材,22306670878.5,140401,1,有色金属
002253,川大智胜,2716428693.9,142227,1,软件开发
002209,达 意 隆,1271737309.8600001,142257,1,专用设备
002632,道明光学,3941948604.6,140639,1,塑料制品
600621,华鑫股份,13197587192.48,143053,1,证券
688630,芯碁微装,3865590050.68,133725,1,专用设备
603917,合力科技,2941568000.0000005,111650,1,汽车零部
603261,立航科技,908022500.0,134913,1,航天航空
002635,安洁科技,6665535554.4,135524,1,消费电子
002073,软控股份,6145273046.92,144342,1,专用设备
605100,华丰股份,1169383040.0,094855,1,通用设备
002526,山东矿机,4437485352.72,110336,1,专用设备
603920,世运电路,9494003784.0,094700,1,电子元件
603655,朗博科技,1958880000.0,094634,1,汽车零部
002970,锐明技术,2371829280.3799996,094333,1,计算机设
002288,超华科技,4678798863.76,094754,1,电子元件
300912,凯龙高科,1238019300.0,101342,1,汽车零部
000570,苏常柴Ａ,2733831306.48,093739,1,汽车零部
600213,亚星客车,2083400000.0000002,093703,1,汽车整车
002514,宝馨科技,3484875520.56,093624,1,通用设备
002224,三 力 士,2637752519.52,094454,1,橡胶制品
603728,鸣志电器,8602880000.0,100701,1,电机
001270,铖昌科技,2875576545.0,093654,1,半导体
300817,双飞股份,843352473.6,134503,1,通用设备
603006,联明股份,1857279967.92,093240,1,汽车零部
002666,德联集团,2722666567.74,093224,1,化学制品
600647,同达创业,2212382445.0,093213,1,贸易行业
600231,凌钢股份,8214167764.799999,111034,1,钢铁行业
002838,道恩股份,7769008084.9,092500,1,塑料制品
002523,天桥起重,4008582907.21,100803,1,专用设备
603738,泰晶科技,7685711051.7,100840,1,电子元件
002119,康强电子,4248340460.0,095500,1,半导体
601966,玲珑轮胎,35491737131.07,130002,1,橡胶制品
002782,可立克,9170435914.61,105915,1,消费电子
300928,华安鑫创,3032608160.82,142948,1,汽车零部
600933,爱柯迪,15119001384.0,111243,1,汽车零部
601127,小康股份,79847785304.76,105040,1,汽车整车
002442,龙星化工,2843958843.0,104903,1,橡胶制品
603069,海汽集团,13151920000.0,104346,1,铁路公路
002188,巴士在线,1353763904.34,092500,1,房地产服
601279,英利汽车,1420850144.9499998,104017,1,汽车零部
002625,光启技术,24750345467.51,103500,1,专用设备
002990,盛视科技,1660056000.0,095621,1,互联网服
002355,兴民智通,3610424902.5,102509,1,汽车零部
000023,深天地Ａ,1787180371.2,130657,1,水泥建材
688017,绿的谐波,9059698068.0,103955,1,通用设备
600686,金龙汽车,5032334878.66,145155,1,汽车整车
000652,泰达股份,6177962716.710001,130457,1,综合行业
000045,深纺织Ａ,3637893918.04,100018,1,光学光电
001323,N慕思,2242960600.0,100000,1,家用轻工
