代码,名称,流通市值,最后封板时间,连板数,所属行业
603097,江苏华辰,1159600000.0,143603,10,电网设备
000957,中通客车,6077265344.0,112639,9,汽车整车
000151,中成股份,3638325149.55,145645,6,贸易行业
603937,丽岛新材,3149910400.0,092505,5,有色金属
603272,联翔股份,677202445.0,092502,4,装修装饰
001318,阳光乳业,1281791000.0,092500,4,食品饮料
002576,通达动力,2326475844.1,140118,3,电机
600817,宇通重工,2118799668.27,133523,3,工程机械
002571,德力股份,2156753739.2400002,093506,3,家用轻工
002137,实益达,2456664964.43,093000,3,电子元件
605577,龙版传媒,621777785.55,134436,3,文化传媒
002355,兴民智通,3332699910.0,130000,2,汽车零部
600283,钱江水利,5284346497.26,095108,2,公用事业
000798,中水渔业,3337912875.0,110127,2,农牧饲渔
002277,友阿股份,5967059584.0,101500,2,商业百货
600098,广州发展,19054492198.32,142318,2,电力行业
002862,实丰文化,1082883537.3400002,093442,2,家用轻工
000595,宝塔实业,5075676088.36,142609,2,通用设备
002121,科陆电子,5922067853.55,092500,2,电网设备
600297,广汇汽车,23197637903.44,092502,2,汽车服务
002406,远东传动,3041391721.0299997,144733,2,汽车零部
605196,华通线缆,2859781795.34,144306,2,电网设备
002973,侨银股份,1479895720.2,092500,2,环保行业
000707,双环科技,6581586947.7,140133,1,化学原料
002605,姚记科技,5192951547.87,131418,1,家用轻工
000681,视觉中国,7884219997.919999,131009,1,文化传媒
002995,天地在线,830458580.49,130730,1,文化传媒
600293,三峡新材,4106913462.84,141857,1,通信设备
002933,新兴装备,1872309934.5,130509,1,航天航空
002782,可立克,6187566383.969999,130254,1,消费电子
002825,纳尔股份,1730723953.6,111127,1,塑料制品
600375,汉马科技,4434809964.06,112243,1,工程机械
605178,时空科技,1552075275.0,145208,1,装修装饰
600686,金龙汽车,4499420059.07,145216,1,汽车整车
603859,能科科技,4672241740.650001,144923,1,软件开发
002420,毅昌科技,2514278003.1600003,110206,1,家电行业
603477,巨星农牧,9099866854.800001,104608,1,农牧饲渔
603619,中曼石油,6976001744.000001,105402,1,采掘行业
000791,甘肃电投,7980540479.1,131142,1,电力行业
603466,风语筑,7774449035.8,131257,1,文化传媒
600863,内蒙华电,25193786950.46,135727,1,电力行业
600277,亿利洁能,18764478962.379997,131344,1,化学原料
002606,大连电瓷,3483790844.5199995,135721,1,电网设备
002227,奥 特 迅,2983205076.52,135527,1,电源设备
603233,大参林,24823987070.36,135306,1,医药商业
600379,宝光股份,3457210375.0800004,140951,1,电网设备
603883,老百姓,16239573662.199999,134948,1,医药商业
601179,中国西电,23168988231.039997,144531,1,电网设备
600416,湘电股份,10711875682.08,144847,1,风电设备
605286,同力日升,1604160000.0,142604,1,专用设备
000404,长虹华意,3360553508.76,102351,1,家电行业
002053,云南能投,7783110943.84,133057,1,化学原料
601008,连云港,4167837484.3500004,132953,1,航运港口
000816,智慧农业,5620107067.96,134554,1,通用设备
605090,九丰能源,2545017660.92,144532,1,燃气
002878,元隆雅图,3559142802.27,144857,1,专业服务
300220,金运激光,2059903906.72,144927,1,电子元件
002434,万里扬,10283542192.0,133400,1,汽车零部
603311,金海高科,2748900000.0,144939,1,家电行业
600101,明星电力,4012039018.3999996,103911,1,电力行业
603527,XD众源新,2655243360.0,102634,1,有色金属
603299,苏盐井神,6606986400.0,095017,1,化学原料
600805,悦达投资,4217365825.2799997,093611,1,综合行业
600651,飞乐音响,4767685920.0,093551,1,光学光电
301185,鸥玛软件,787530800.0,102533,1,软件开发
002261,拓维信息,6963647832.96,093351,1,软件开发
600545,卓郎智能,7088844601.3,093314,1,专用设备
002790,瑞尔特,1797092873.5,093806,1,装修建材
002837,英维克,7586250686.8,145551,1,专用设备
603988,中电电机,2302608000.0,093303,1,电机
002822,中装建设,3656989405.8399997,093754,1,装修装饰
600715,文投控股,4544391075.0,093113,1,游戏
003001,中岩大地,1125174564.3600001,093503,1,工程咨询
000931,中 关 村,4857709802.82,104345,1,化学制药
000757,浩物股份,2417821508.7400002,093042,1,汽车服务
600756,浪潮软件,4213283789.0,093007,1,互联网服
000911,南宁糖业,3526000594.5600004,093000,1,食品饮料
000909,数源科技,4637463652.08,093000,1,综合行业
002630,华西能源,2146754776.92,092500,1,电源设备
000025,特  力Ａ,5286796187.200001,093718,1,汽车服务
600822,上海物贸,3497986027.64,095335,1,贸易行业
002885,京泉华,2716820400.28,130003,1,消费电子
001205,盛航股份,2378617726.54,100136,1,航运港口
000862,银星能源,3594700221.3,145648,1,电力行业
600502,安徽建工,12684951204.64,143450,1,工程建设
600859,王府井,22609297925.73,102459,1,商业百货
001212,中旗新材,850125000.0,092500,1,装修装饰
002660,茂硕电源,2032768308.8700001,100851,1,消费电子
600827,百联股份,18916464556.8,101610,1,商业百货
002905,金逸影视,2491507200.0,100442,1,文化传媒
600017,日照港,9565283591.68,110847,1,航运港口
000582,北部湾港,11873845176.160002,143618,1,航运港口
600693,东百集团,4270898547.4399996,094246,1,商业百货
600081,东风科技,3693736800.0,095923,1,汽车零部
002334,英威腾,3774642693.6,130003,1,专用设备
603439,贵州三力,2065869922.48,095605,1,中药
002589,瑞康医药,4828687934.34,095403,1,医药商业
600077,宋都股份,6539796950.88,094826,1,房地产开
600190,锦州港,6281580390.9,094740,1,航运港口
002987,京北方,2693128446.84,104657,1,软件开发
002116,中国海诚,4780322672.72,095145,1,工程咨询
603536,惠发食品,1828317680.0,145626,1,食品饮料
