代码,名称,流通市值,最后封板时间,连板数,所属行业
000957,中通客车,8093138726.400001,143027,12,汽车整车
001318,阳光乳业,1705284000.0,105800,7,食品饮料
002121,科陆电子,7880266642.799999,143727,5,电网设备
000595,宝塔实业,6759981158.040001,092500,5,通用设备
600283,钱江水利,7035205456.94,093102,5,公用事业
000025,特  力Ａ,7038587494.400001,092500,4,汽车服务
600081,东风科技,4919756400.0,102107,4,汽车零部
002660,茂硕电源,2707614468.0899997,093930,4,消费电子
605366,宏柏新材,4265957438.1000004,103148,3,化学制品
000880,潍柴重机,1804863060.0000002,100757,3,通用设备
002181,粤 传 媒,5728884513.849999,100054,3,文化传媒
002761,浙江建投,20265413263.04,144106,3,工程建设
003009,中天火箭,2203690753.86,101527,3,航天航空
600780,通宝能源,6879015138.0,144002,2,电力行业
600099,林海股份,2285421600.0,093309,2,交运设备
600495,晋西车轴,5279794171.82,143441,2,交运设备
000599,青岛双星,3642680278.22,092500,2,橡胶制品
000985,大庆华科,2639460220.0,094439,2,化学制品
000026,飞亚达,3937907787.0,093621,2,珠宝首饰
605399,晨光新材,3606613892.8,135202,2,化学制品
002659,凯文教育,2706140527.3999996,134651,2,教育
600284,浦东建设,8596468160.0,093443,2,工程建设
600661,昂立教育,2897008671.2999997,145421,2,教育
000635,英 力 特,3364272382.2,112836,2,化学原料
600962,国投中鲁,3304800200.0,092504,2,食品饮料
600652,退市游久,832703498.0,093208,2,游戏
600213,亚星客车,2378200000.0,145017,2,汽车整车
600636,国新文化,3743816797.5,093016,2,教育
000151,中成股份,4288692429.0299997,092500,2,贸易行业
002066,瑞泰科技,2936010000.0,093009,2,装修建材
600623,华谊集团,16089380032.320002,140650,1,化学原料
002274,华昌化工,9492551195.599998,130209,1,化肥行业
002068,黑猫股份,9196630276.9,140145,1,橡胶制品
600550,保变电气,9428625817.6,134911,1,电网设备
002189,中光学,3441993760.9,112351,1,光学光电
605598,上海港湾,895832505.5799999,140911,1,工程建设
002782,可立克,7164550549.86,112342,1,消费电子
000504,南华生物,4554469126.66,141530,1,医疗服务
000901,航天科技,7495111202.34,140409,1,汽车零部
002580,圣阳股份,2619717580.9199996,111351,1,电池
600746,江苏索普,5136535663.07,130450,1,化学原料
605151,西上海,1233205538.6000001,144423,1,汽车服务
000819,岳阳兴长,3562879537.05,131721,1,石油行业
002779,中坚科技,2868484195.5,132936,1,专用设备
002885,京泉华,2984147786.0600004,144057,1,消费电子
000767,晋控电力,10425828049.76,143557,1,电力行业
002400,省广集团,8419073514.190001,142245,1,文化传媒
600552,凯盛科技,8486751273.33,142047,1,光学光电
600876,洛阳玻璃,8673858020.52,142712,1,玻璃玻纤
688150,莱特光电,598985938.48,140008,1,光学光电
002758,浙农股份,2754504099.82,134906,1,综合行业
601798,蓝科高新,2715685996.68,134459,1,专用设备
688578,艾力斯-U,3605369962.4,134044,1,化学制药
002053,云南能投,8358190159.92,140815,1,化学原料
600358,国旅联合,3438618654.6,135638,1,文化传媒
000035,中国天楹,12413927602.56,141009,1,环保行业
600101,明星电力,4340756501.0,143741,1,电力行业
002401,中远海科,3418358714.9999995,131112,1,互联网服
688793,XD倍轻松,711248550.0,145211,1,家电行业
601127,小康股份,53641438595.4,145350,1,汽车整车
002995,天地在线,974025190.53,103351,1,文化传媒
603086,先达股份,3448798668.0,105148,1,农药兽药
603505,金石资源,10792954823.0,093206,1,采掘行业
600058,五矿发展,9314904078.59,102149,1,贸易行业
000155,川能动力,25133300000.0,093554,1,电力行业
603860,中公高科,1627658800.0,093412,1,工程咨询
002564,天沃科技,3777875837.3999996,093339,1,专业服务
600301,南化股份,3743558388.8,102825,1,贸易行业
600119,长江投资,2287056000.0,142807,1,物流行业
002429,兆驰股份,17580538513.100002,093206,1,家电行业
000032,深桑达Ａ,9496835672.76,093945,1,通信设备
600469,风神股份,2767073052.24,093113,1,橡胶制品
603069,海汽集团,4177520000.0,092503,1,铁路公路
600506,香梨股份,1967455548.3600001,110046,1,农牧饲渔
600127,金健米业,6045597913.56,101034,1,农牧饲渔
002341,新纶新材,3854979638.9,095721,1,塑料制品
000420,吉林化纤,8083882922.01,092500,1,化纤行业
000550,江铃汽车,8927935615.199999,093806,1,汽车整车
002554,惠博普,3129375913.6,094203,1,采掘行业
000678,襄阳轴承,2275078395.15,104745,1,汽车零部
601007,金陵饭店,3907800000.0,101044,1,旅游酒店
002270,华明装备,5519564063.36,104621,1,电网设备
000523,广州浪奇,5190694121.34,102957,1,美容护理
600197,伊力特,12907905360.400002,103628,1,酿酒行业
301137,哈焊华通,951425627.71,111800,1,通用设备
002410,广联达,50790649831.24,105318,1,软件开发
600529,山东药玻,15153828516.09,102118,1,医疗器械
002561,徐家汇,6761466160.799999,140427,1,商业百货
600444,国机通用,2175829909.52,094846,1,专用设备
002715,登云股份,1825740000.0,100506,1,汽车零部
600268,国电南自,5798511634.559999,100459,1,电网设备
600698,湖南天雁,4366445355.68,095900,1,汽车零部
002993,奥海科技,1905148800.0,095806,1,消费电子
000561,烽火电子,4495196935.26,095515,1,通信设备
600604,市北高新,8360281535.76,100117,1,房地产服
002725,跃岭股份,2237268708.15,145557,1,汽车零部
