代码,名称,流通市值,最后封板时间,连板数,所属行业
001319,铭科精技,1476569500.0,131606,8,汽车零部
603097,江苏华辰,958000000.0,092500,8,电网设备
000957,中通客车,5021896337.92,111742,7,汽车整车
000909,数源科技,4036956662.88,093627,5,综合行业
002309,中利集团,4977664003.92,093027,5,光伏设备
000151,中成股份,3006615947.7599998,144548,4,贸易行业
000753,漳州发展,4868172058.610001,092500,3,汽车服务
603166,福达股份,5912809156.650001,092506,3,汽车零部
603159,上海亚虹,2510200000.0,133117,3,专用设备
603937,丽岛新材,2602644800.0,092506,3,有色金属
002529,海源复材,4438200000.0,095948,3,专用设备
001212,中旗新材,745162900.0,093118,2,装修装饰
002824,和胜股份,5385177820.44,093000,2,有色金属
002449,国星光电,5187369840.7300005,092500,2,光学光电
600313,农发种业,13945352423.76,142919,2,农牧饲渔
603967,中创物流,4111467180.6,094050,2,物流行业
000868,安凯客车,3673979131.68,094057,2,汽车整车
002578,闽发铝业,4367396652.82,092500,2,有色金属
002011,盾安环境,8667017647.42,130612,2,家电行业
002292,奥飞娱乐,5998074336.0,093006,2,文化传媒
603897,长城科技,6104303087.17,143738,2,电网设备
001318,阳光乳业,1059086000.0,092500,2,食品饮料
600593,大连圣亚,2026024000.0,092505,2,旅游酒店
603272,联翔股份,559585800.0,092501,2,装修装饰
600881,亚泰集团,9974164715.16,100244,2,水泥建材
605116,奥锐特,1864455232.0,111714,1,化学制药
301166,优宁维,1439877449.43,101342,1,专业服务
603477,巨星农牧,8589233775.599999,110329,1,农牧饲渔
002898,赛隆药业,1188594167.97,105842,1,化学制药
688317,之江生物,6059825496.4800005,142935,1,医疗器械
002627,三峡旅游,3820243335.9100003,105606,1,铁路公路
002496,辉丰股份,3487659717.06,103139,1,农药兽药
000886,海南高速,5142499285.440001,102618,1,房地产开
002137,实益达,2030947188.4,105142,1,电子元件
600513,联环药业,3011563648.5,103704,1,化学制药
002623,亚玛顿,5543934248.75,135724,1,光伏设备
000505,京粮控股,6605475472.96,102818,1,农牧饲渔
002571,德力股份,1780887942.36,141518,1,家用轻工
002987,京北方,2509417217.52,131400,1,软件开发
603895,天永智能,2876008800.0,130000,1,专用设备
603985,恒润股份,7438325440.0,134741,1,通用设备
603138,海量数据,3630846598.73,141042,1,软件开发
600338,西藏珠峰,22105601862.239998,140247,1,有色金属
603040,新坐标,2319351476.79,141647,1,汽车零部
000756,新华制药,12300219376.800001,135342,1,化学制药
605018,长华股份,673965600.0000001,144842,1,汽车零部
002895,川恒股份,15263619625.650002,135021,1,化肥行业
603665,康隆达,7137542280.34,143121,1,纺织服装
603192,汇得科技,3388800010.59,134056,1,化学制品
002363,隆基机械,2744003902.2,130354,1,汽车零部
000719,中原传媒,5123693130.24,102445,1,文化传媒
600965,福成股份,5362491255.25,134223,1,农牧饲渔
300550,和仁科技,3746923738.02,143227,1,软件开发
600165,新日恒力,6026977220.000001,135856,1,化学制品
600418,江淮汽车,22322149859.429996,132557,1,汽车整车
000688,国城矿业,18560816490.24,141421,1,有色金属
002416,爱施德,11566792469.1,144257,1,商业百货
600213,亚星客车,1913999999.9999998,142054,1,汽车整车
002514,宝馨科技,2321403566.1600003,094436,1,通用设备
603178,圣龙股份,2395478960.0,100234,1,汽车零部
603466,风语筑,7543566370.049999,100605,1,文化传媒
002536,飞龙股份,2963362739.08,093257,1,汽车零部
600603,广汇物流,6377947371.23,105232,1,房地产开
002708,光洋股份,2334446864.4,093136,1,汽车零部
605577,龙版传媒,513777784.20000005,093109,1,文化传媒
002860,星帅尔,2769085489.4199996,095006,1,家电行业
000655,金岭矿业,4048313564.0,093000,1,钢铁行业
000607,华媒控股,4123716920.04,093000,1,文化传媒
603590,康辰药业,4416000000.0,092504,1,生物制品
600880,博瑞传播,6252132601.0,092504,1,教育
600210,紫江企业,8660563462.18,092504,1,包装材料
600633,浙数文化,8720883303.47,092503,1,游戏
301025,读客文化,592948200.0,092503,1,文化传媒
002957,科瑞技术,2274452860.3399997,092500,1,专用设备
002576,通达动力,1922014319.26,092500,1,电机
002431,棕榈股份,7860408229.5199995,140909,1,工程建设
600817,宇通重工,1750807604.13,093431,1,工程机械
002718,友邦吊顶,928148431.53,093618,1,装修建材
002589,瑞康医药,4691053123.86,095757,1,医药商业
603602,纵横通信,2087412449.28,112440,1,通信服务
002490,山东墨龙,2312698185.0,095536,1,专用设备
001203,大中矿业,6968512733.35,141236,1,钢铁行业
603209,兴通股份,1239000000.0,095359,1,航运港口
002749,国光股份,2589845415.7599998,095324,1,农药兽药
600010,包钢股份,66205372216.829994,130002,1,钢铁行业
002183,怡 亚 通,22328166043.39,150000,1,物流行业
000913,钱江摩托,5963998400.0,092500,1,交运设备
000762,西藏矿业,21883827666.36,094230,1,采掘行业
600653,申华控股,4729704170.31,110301,1,汽车服务
600715,文投控股,4433099865.0,094009,1,游戏
603000,人民网,11598699177.44,140408,1,文化传媒
002728,特一药业,1796004823.08,103148,1,中药
000880,潍柴重机,1448106660.0,093839,1,通用设备
600636,国新文化,3356221646.7,093812,1,教育
603959,百利科技,6035580591.52,093753,1,工程咨询
002932,明德生物,7551621575.940001,144545,1,医疗器械
