代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
600652,退市游久,2.7272727489471436,940954952.7399999,092504,游戏
002618,丹邦退,-1.0101009607315063,536961600.0,093012,电子元件
003021,兆威机电,5.766486167907715,2233077600.0,093130,电机
600209,退市罗顿,3.4482758045196533,395110052.1,093157,装修装饰
600058,五矿发展,7.531380653381348,11019242109.08,093245,贸易行业
002189,中光学,-0.05878894776105881,3784857305.0,093303,光学光电
002898,赛隆药业,3.7940378189086914,1160318350.89,093451,化学制药
002045,国光电器,2.6881721019744873,4461432320.400001,093554,消费电子
600593,大连圣亚,4.843304634094238,1895936000.0,093650,旅游酒店
002154,报 喜 鸟,8.136483192443848,4583354469.24,093945,纺织服装
000524,岭南控股,6.730769634246826,7438555343.099999,093957,旅游酒店
601975,招商南油,7.530120849609375,17324438337.36,094304,航运港口
600182,S*ST佳通,2.8008298873901367,1684700000.0,094320,橡胶制品
002401,中远海科,-2.424830198287964,3670084170.0,094454,互联网服
002895,川恒股份,5.0108256340026855,16529501955.050001,095042,化肥行业
002829,星网宇达,5.499826908111572,2951205315.0,095136,通信设备
688280,精进电动-UW,5.911330223083496,1126213537.5,095324,汽车零部
601218,吉鑫科技,3.2608695030212402,4632728176.25,095605,风电设备
002859,洁美科技,7.100339889526367,10061434008.45,095712,电子元件
603000,人民网,5.643564224243164,11797723567.52,100144,文化传媒
002264,新 华 都,6.734694004058838,3224606127.4700003,100618,商业百货
002923,润都股份,-0.21703743934631348,3381112502.04,104357,化学制药
603167,渤海轮渡,5.439330577850342,3546732442.68,110811,航运港口
000061,农 产 品,2.857142925262451,11607047411.039999,111015,贸易行业
000829,天音控股,7.033639430999756,10749533014.5,111809,贸易行业
300048,合康新能,14.285715103149414,7412228357.599999,131121,专用设备
002238,天威视讯,6.785714626312256,4799303776.8,131303,文化传媒
000665,湖北广电,6.9792799949646,11103744193.02,131324,文化传媒
605005,合兴股份,6.626506328582764,907444502.6999999,132125,汽车零部
600550,保变电气,-0.3552398085594177,10330974772.800001,133632,电网设备
002598,山东章鼓,6.730769634246826,2398556047.44,140339,通用设备
688367,工大高科,17.76350975036621,465857057.00000006,142052,交运设备
600505,西昌电力,7.954545497894287,3463391250.0,142543,电力行业
600644,乐山电力,4.617834568023682,3537292329.63,142643,电力行业
600546,山煤国际,8.69565200805664,38657894730.0,144524,煤炭行业
600491,龙元建设,7.299269676208496,8994976775.4,144631,工程建设
600026,中远海能,10.019646644592285,32087694105.6,145242,航运港口
