代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
002256,兆新股份,1.2461059093475342,4521388290.25,093206,电网设备
002263,大东南,2.5316455364227295,6085828404.0,093212,塑料制品
002655,共达电声,1.8648018836975098,4718249014.5,093436,消费电子
002057,中钢天源,-0.5170630812644958,7178326405.12,093721,小金属
002360,同德化工,6.034482479095459,2370211722.0,094236,化学制品
000058,深 赛 格,5.944056034088135,3261989629.02,094730,商业百货
600220,江苏阳光,6.734006881713867,5653188833.42,094816,纺织服装
002598,山东章鼓,3.34883713722229,3000896135.93,094836,通用设备
001212,中旗新材,6.921131134033203,1054155000.0,094854,装修装饰
000065,北方国际,5.5622735023498535,7903091196.09,095012,工程建设
601456,国联证券,3.939962387084961,10957835399.12,095316,证券
002116,中国海诚,8.318099021911621,4934392305.9,095836,工程咨询
002636,金安国纪,0.22522522509098053,6435654275.8,100245,电子元件
600058,五矿发展,3.9735100269317627,13463198530.16,100702,贸易行业
002513,蓝丰生化,4.074073791503906,1767016975.8400002,103530,农药兽药
000883,湖北能源,8.649788856506348,33503636595.600002,105551,电力行业
000501,武商集团,5.876591205596924,8302870665.02,112457,商业百货
002607,中公教育,5.609284400939941,9778363194.6,130109,教育
603139,康惠制药,6.885919570922852,2077504000.0,130514,中药
605199,葫芦娃,7.4051408767700195,1638130197.6000001,144900,中药
