代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
002514,宝馨科技,0.0,2537476929.12,092500,通用设备
605128,上海沿浦,4.8102216720581055,1163291900.0,092504,汽车零部
002933,新兴装备,-3.600712776184082,1985382769.76,093015,航天航空
002935,天奥电子,7.997091770172119,5927252966.14,093054,通信设备
002676,顺威股份,1.8421051502227783,2786263907.58,093209,家电行业
002995,天地在线,-3.071363925933838,885327428.58,093227,文化传媒
600218,全柴动力,4.328524112701416,3878992184.2000003,094808,汽车零部
603608,天创时尚,5.298013210296631,2001958901.9099998,094822,纺织服装
603988,中电电机,5.663881301879883,2676576000.0,094902,电机
600135,乐凯胶片,5.83090353012085,3105572571.42,095133,塑料制品
002096,南岭民爆,7.306338310241699,4520661195.25,095212,化学制品
002201,正威新材,6.299212455749512,8148301714.8,095854,玻璃玻纤
603126,中材节能,4.392386436462402,4352865000.0,100302,环保行业
600619,海立股份,5.032467365264893,4607807084.48,100706,家电行业
001296,长江材料,4.940374851226807,632940000.0,100745,非金属材
002821,凯莱英,6.539772987365723,59094277660.0,100751,医疗服务
603187,海容冷链,2.9448232650756836,7979105237.67,100757,通用设备
002132,恒星科技,5.038759708404541,6797439428.72,103248,通用设备
603322,超讯通信,9.983766555786133,2120846000.0,104814,通信服务
000822,山东海化,7.886090278625488,8816655471.1,105200,化学原料
600469,风神股份,5.92417049407959,2513987102.3399997,105200,橡胶制品
600476,湘邮科技,8.526602745056152,2562623700.0,105533,互联网服
600275,退市昌鱼,5.882352828979492,183181405.68,110914,农牧饲渔
300688,创业黑马,14.358647346496582,2368817024.0,112403,教育
002777,久远银海,6.645817279815674,5448165961.4800005,113000,互联网服
000526,学大教育,6.228842258453369,1753630207.8899999,130000,教育
002607,中公教育,5.731225490570068,9581363203.5,130006,教育
002190,成飞集成,5.972625255584717,9165534713.65,130248,专用设备
600579,克劳斯,6.081081390380859,2566592190.7200003,131333,专用设备
600121,郑州煤电,8.108107566833496,5848377782.4,134358,煤炭行业
000017,深中华A,3.370786428451538,1114970109.44,134833,交运设备
000911,南宁糖业,5.34351110458374,3577853544.4799995,140839,食品饮料
002523,天桥起重,6.719367980957031,3771140714.1000004,141309,专用设备
600756,浪潮软件,8.37696361541748,4696190930.97,145443,互联网服
