代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
002363,隆基机械,2.8528528213500977,2847943443.95,093006,汽车零部
600536,中国软件,6.5565032958984375,19772620024.359997,093106,互联网服
002883,中设股份,7.8309855461120605,1805181673.68,093312,工程咨询
002868,绿康生化,8.499566078186035,1944252120.87,093339,农药兽药
600135,乐凯胶片,4.841149806976318,2964410181.81,093349,塑料制品
601258,庞大集团,8.088235855102539,15034020852.9,093627,汽车服务
001288,运机集团,5.379310131072998,611198472.0,093839,工程机械
600386,北巴传媒,5.571030616760254,3056256000.0,093851,汽车服务
601975,招商南油,5.64784049987793,15431852636.640001,093852,航运港口
003039,顺控发展,4.895104885101318,2756671425.0,093912,公用事业
002073,软控股份,4.633204460144043,5061911841.08,094212,专用设备
002943,宇晶股份,0.32502707839012146,3105697556.2999997,095954,通用设备
603725,天安新材,4.5731706619262695,1408714720.0,095956,化学制品
600166,福田汽车,8.203125,18213281970.19,101053,汽车整车
600696,岩石股份,8.154670715332031,9448761425.75,110711,酿酒行业
600062,华润双鹤,8.771929740905762,31794573710.0,111155,化学制药
603658,安图生物,3.917429208755493,25971860940.8,130005,医疗器械
002813,路畅科技,7.160595893859863,3055405398.54,132045,汽车零部
002654,万润科技,8.595989227294922,2896631963.6,132048,文化传媒
002206,海 利 得,7.486630916595459,5752078584.39,132842,化纤行业
600633,浙数文化,9.923664093017578,9113259765.6,133924,游戏
000607,华媒控股,7.223476409912109,4203359521.5,134403,文化传媒
002234,民和股份,7.205982685089111,3990911755.2799997,134736,农牧饲渔
601595,上海电影,8.752735137939453,4455108000.0,134951,文化传媒
603136,天目湖,6.21301794052124,4681575331.79,135220,旅游酒店
603919,金徽酒,7.030716419219971,15907673505.92,140323,酿酒行业
000756,新华制药,2.870041847229004,13919013768.0,141457,化学制药
601126,四方股份,8.715596199035645,11563305840.0,143956,电网设备
603786,科博达,6.402439117431641,2239184000.0,144443,汽车零部
600312,平高电气,9.239940643310547,9946233194.97,144644,电网设备
600622,光大嘉宝,9.600000381469727,6163707002.22,144930,房地产开
