代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
000779,甘咨询,2.7194066047668457,2966949465.3,092500,工程咨询
002871,伟隆股份,0.9777777791023254,975698392.4799999,093000,通用设备
000609,中迪投资,1.3803681135177612,1930708435.42,093018,房地产开
002431,棕榈股份,7.221006393432617,7145825663.200001,093315,工程建设
300071,华谊嘉信,7.185628890991211,3184632461.2000003,093439,文化传媒
601607,上海医药,3.7967913150787354,37339524552.090004,094038,医药商业
002183,怡 亚 通,3.9024391174316406,20302665388.44,094357,物流行业
600853,龙建股份,6.741572856903076,3818625874.7999997,094540,工程建设
000949,新乡化纤,5.0,5304322875.599999,094612,化纤行业
000886,海南高速,5.263157844543457,4674999350.4,094948,房地产开
300741,华宝股份,16.777629852294922,16203727816.5,095148,食品饮料
603429,集友股份,6.971479892730713,8852565384.25,095257,造纸印刷
603777,来伊份,6.868537425994873,4870021868.76,095345,食品饮料
600071,凤凰光学,2.201467514038086,7276156051.84,095648,光学光电
003022,联泓新科,7.604562282562256,7811547120.0,095806,化学制品
603717,天域生态,5.0,2680951257.6,100318,工程建设
600569,安阳钢铁,9.363295555114746,6989558707.88,100859,钢铁行业
002780,三夫户外,4.961339950561523,2128333036.86,102803,纺织服装
603518,锦泓集团,4.822335243225098,2450180642.14,103248,纺织服装
600872,中炬高新,8.276740074157715,20322214818.940002,110148,食品饮料
603767,中马传动,1.8918918371200562,3436028895.0,110421,汽车零部
002074,国轩高科,6.25,41487458185.6,112445,电池
002278,神开股份,4.48065185546875,1748567712.78,130000,专用设备
688317,之江生物,16.338027954101562,5049854580.4,130937,医疗器械
603759,DR海天股,6.846473217010498,2011027661.2,132837,公用事业
000682,东方电子,7.378335952758789,9169672583.88,133454,电网设备
603035,常熟汽饰,6.773743152618408,5810672965.57,133946,汽车零部
002127,南极电商,8.123790740966797,11150392794.19,140339,贸易行业
002160,常铝股份,8.17941951751709,3120204923.1,142303,有色金属
