代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
000673,当代退,0.0,244748210.98,092500,文化传媒
003021,兆威机电,1.0922871828079224,2733335200.0,093136,电机
000996,中国中期,-2.5316455364227295,2390850000.0,093445,汽车服务
002786,银宝山新,4.2207794189453125,3172199040.0,093530,专用设备
603068,博通集成,8.461762428283691,5610851231.799999,093749,半导体
600385,退市金泰,3.361344814300537,175611791.22,093831,化学制药
002291,星期六,6.783493518829346,15840417743.36,093848,纺织服装
600206,有研新材,7.786170959472656,15703564308.6,093901,小金属
000680,山推股份,3.651115655899048,5401081200.83,094224,工程机械
000502,绿景退,-1.4492753744125366,124676610.76,094439,房地产服
603918,金桥信息,1.0537407398223877,3496242583.82,095308,互联网服
002806,华锋股份,4.624715805053711,1941266148.0,095345,有色金属
603069,海汽集团,3.7159371376037598,11906880000.0,095703,铁路公路
002239,奥特佳,4.9242424964904785,8983720560.63,100627,汽车零部
002897,意华股份,3.465235948562622,7298355722.320001,100636,通信设备
002124,天邦股份,8.346213340759277,10778778399.73,103451,农牧饲渔
002746,仙坛股份,6.077348232269287,6812891779.2,103518,农牧饲渔
603477,巨星农牧,9.580839157104492,12341905178.4,105004,农牧饲渔
605358,立昂微,7.9425506591796875,31344180466.54,105127,半导体
002982,湘佳股份,6.526521682739258,2056431250.0,105833,农牧饲渔
605133,嵘泰股份,8.816326141357422,1066400000.0,105936,汽车零部
603229,奥翔药业,7.505735874176025,13021621811.999998,110326,化学制药
002222,福晶科技,7.758620262145996,7447868190.0,111342,光学光电
002218,拓日新能,8.604206085205078,7878716043.599999,111609,光伏设备
603838,四通股份,4.2139387130737305,1831366880.0,111914,装修建材
603309,维力医疗,6.538734436035156,3897400000.0,130142,医疗器械
002582,好想你,5.117565631866455,2686860938.4,131700,食品饮料
000611,天首退,9.70873737335205,360939308.21,132051,化肥行业
000712,锦龙股份,5.82524299621582,14637186671.250002,135542,证券
002355,兴民智通,7.446808338165283,3116691582.5,140039,汽车零部
