代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
600385,退市金泰,5.82524299621582,155623457.26000002,093119,化学制药
600283,钱江水利,0.4651162624359131,6099766698.240001,093121,公用事业
002516,旷达科技,5.613305568695068,4841125898.12,093136,汽车零部
603917,合力科技,0.2896871566772461,2714208000.0,093352,汽车零部
600653,申华控股,0.6309148669242859,6208953211.23,093448,汽车服务
603018,华设集团,1.9417475461959839,6318467996.4,093551,工程咨询
001234,泰慕士,7.292474746704102,737600922.0,094036,纺织服装
603070,万控智造,4.187946796417236,1224000000.0,094645,电网设备
002341,新纶新材,9.956709861755371,4859378800.4,094924,塑料制品
002795,永和智控,-0.6218905448913574,1932197490.3,095315,通用设备
605366,宏柏新材,7.12148380279541,5791478054.0,095649,化学制品
002355,兴民智通,4.421052932739258,3061146584.0,095800,汽车零部
000982,中银绒业,6.060606002807617,10441598779.85,095848,纺织服装
002567,唐人神,7.947805404663086,10817646739.9,102327,农牧饲渔
002840,华统股份,7.971484184265137,7680991007.4800005,102509,食品饮料
603363,傲农生物,7.188405990600586,12331804581.579998,102516,农牧饲渔
600182,S*ST佳通,4.696840286254883,2084200000.0,102624,橡胶制品
002997,瑞鹄模具,7.528957843780518,1912459500.0,103245,汽车零部
600335,国机汽车,5.632411003112793,11007886787.529999,131138,汽车服务
000025,特  力Ａ,4.31235408782959,10546097892.0,135200,汽车服务
603819,神力股份,8.37320613861084,3945270988.44,142818,电机
600095,湘财股份,7.329843044281006,9262807338.199999,142921,证券
300064,金刚退,18.18181800842285,633569097.07,143951,非金属材
000909,数源科技,3.26241135597229,5640891459.84,144506,综合行业
601456,国联证券,7.281964302062988,12530304558.38,144552,证券
002251,步 步 高,9.502923965454102,6470640592.99,145024,商业百货
