代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
600778,友好集团,0.0,1920195821.94,093152,商业百货
002163,海南发展,4.005826473236084,11474694000.0,093200,玻璃玻纤
605086,龙高股份,6.060606002807617,930966400.0,093259,采掘行业
603998,方盛制药,6.860158443450928,3478380732.0,093343,中药
600777,新潮能源,5.314009666442871,13585930731.060001,094032,石油行业
605580,恒盛能源,4.21638822555542,655000000.0,095505,电力行业
002513,蓝丰生化,7.838983058929443,1600376584.8799999,100603,农药兽药
600733,北汽蓝谷,7.467056751251221,28715873976.739998,110556,汽车整车
002688,金河生物,4.044943809509277,3547162069.71,130000,农牧饲渔
600168,武汉控股,5.040650367736816,4583820210.32,130835,公用事业
600189,泉阳泉,8.873720169067383,4464835171.5,131745,食品饮料
002460,赣锋锂业,8.981868743896484,100736431158.51,132251,能源金属
002824,和胜股份,8.734087944030762,4006634841.0,132654,有色金属
600537,亿晶光电,7.734807014465332,4587801145.2,133150,光伏设备
002952,亚世光电,4.429301738739014,1595634488.32,135830,光学光电
002270,华明装备,6.125574111938477,5261427642.24,142948,电网设备
002248,华东数控,5.217391014099121,2232418056.0,143545,通用设备
