代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
002239,奥特佳,-0.8928571939468384,10799923995.27,092500,汽车零部
300731,科创新源,-3.692946195602417,2740291945.82,092503,橡胶制品
300891,惠云钛业,15.720523834228516,3057040000.0,092503,化学原料
000017,深中华A,2.6748971939086914,1511875229.92,093000,交运设备
002635,安洁科技,4.654254913330078,6476267260.88,093000,消费电子
002979,雷赛智能,1.2339330911636353,3102693925.98,093000,专用设备
002927,泰永长征,3.079291820526123,2943237957.4,093009,电网设备
000545,金浦钛业,1.7114914655685425,4099276879.36,093015,化学原料
000678,襄阳轴承,1.899827241897583,2711709602.3,093036,汽车零部
300293,蓝英装备,16.06765365600586,3078088368.6600003,093321,专用设备
600525,长园集团,-1.1834319829940796,6541933511.5199995,093349,电网设备
600836,上海易连,0.7496251463890076,4453700643.84,093619,包装材料
300585,奥联电子,12.433862686157227,3400000000.0,093848,汽车零部
600322,天房发展,4.34782600402832,2388312000.0,093916,房地产开
300836,佰奥智能,16.504854202270508,1020696362.4,094000,专用设备
603626,科森科技,0.13297872245311737,4178244065.7000003,094022,消费电子
300024,机器人,16.906076431274414,15945534174.88,094251,通用设备
000029,深深房Ａ,5.287569522857666,10120341000.0,100406,房地产开
688170,德龙激光,14.614386558532715,743834530.89,100519,专用设备
603915,国茂股份,6.994126796722412,13050456014.4,101607,通用设备
605268,王力安防,6.922257900238037,746775199.9999999,102913,装修装饰
600936,广西广电,6.25,6249638133.860001,103940,文化传媒
002618,丹邦退,8.620689392089844,690379200.0,104551,电子元件
002995,天地在线,2.108262062072754,1034999741.44,105600,文化传媒
002713,东易日盛,1.9374068975448608,2757726090.36,105921,装修装饰
002996,顺博合金,6.308243274688721,1864522867.92,112000,有色金属
002459,晶澳科技,3.4285712242126465,77356341751.6,112754,光伏设备
000821,京山轻机,6.11384391784668,8919329879.8,112933,专用设备
301266,宇邦新材,14.071856498718262,1221320348.82,130445,有色金属
600633,浙数文化,6.302521228790283,9606894669.57,131335,游戏
600010,包钢股份,6.190476417541504,70640181839.01,131344,钢铁行业
002343,慈文传媒,5.192307949066162,2591100994.44,133951,文化传媒
600706,曲江文旅,5.831157207489014,3078165193.6,134511,旅游酒店
600870,退市厦华,8.474576950073242,334847785.6,144038,互联网服
