代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
000899,赣能股份,-2.2026431560516357,6497995133.7,092500,电力行业
002986,宇新股份,5.903908729553223,3882223989.0,093045,化学制品
603009,北特科技,-2.4767801761627197,2131976511.0,093048,汽车零部
000966,长源电力,3.8819875717163086,7414420495.200001,093324,电力行业
601399,国机重装,4.154302597045898,11052210411.449999,093733,专用设备
600651,飞乐音响,4.904632091522217,4780101768.75,094115,光学光电
603815,交建股份,4.5307440757751465,2744322099.75,094812,工程建设
601519,大智慧,3.9861350059509277,11926200000.0,095706,软件开发
600546,山煤国际,7.110208511352539,41809999992.6,101645,煤炭行业
600596,新安股份,6.474103927612305,22005718625.2,104924,农药兽药
000628,高新发展,6.047904014587402,3401631248.4,105348,工程建设
603533,掌阅科技,6.25,7461246195.0,111246,文化传媒
003042,中农联合,5.066344738006592,1672842600.0,130351,农药兽药
600740,山西焦化,5.732484340667725,17012484462.56,141955,煤炭行业
000506,中润资源,6.984127521514893,3129621138.57,143833,贵金属
