代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
000678,襄阳轴承,0.8080808520317078,2293462867.03,092500,汽车零部
001212,中旗新材,-5.045408725738525,1386610550.0,092500,装修装饰
600870,退市厦华,3.125,345311778.90000004,092505,互联网服
002132,恒星科技,5.3484601974487305,9094711671.5,093000,通用设备
000570,苏常柴Ａ,-2.385685920715332,2449472940.66,093006,汽车零部
002160,常铝股份,-9.880749702453613,4025825376.39,093021,有色金属
603178,圣龙股份,-4.276827335357666,2836014619.21,093022,汽车零部
600906,财达证券,5.7385759353637695,12660921280.0,093103,证券
002876,三利谱,4.582693576812744,5857502537.75,093115,光学光电
603997,继峰股份,1.5194681882858276,9415944847.6,093304,汽车零部
002268,卫 士 通,7.2279372215271,33166824496.25,093330,软件开发
002851,麦格米特,3.764115333557129,10183415841.0,093330,电源设备
000800,一汽解放,-0.18248175084590912,15444589613.32,093421,汽车整车
002782,可立克,1.0474430322647095,7740357642.799999,093906,消费电子
605258,协和电子,5.717916011810303,943238400.0,094207,电子元件
603518,锦泓集团,2.878598213195801,2438315360.5800004,094330,纺织服装
601066,中信建投,8.330134391784668,107556636147.95999,094507,证券
601890,亚星锚链,4.820936679840088,7301034000.0,095835,船舶制造
002659,凯文教育,5.882352828979492,2647311385.5,095903,教育
600685,中船防务,4.501216411590576,14112256409.58,100524,船舶制造
600418,江淮汽车,4.729729652404785,26411704032.149998,102138,汽车整车
002657,中科金财,3.0927834510803223,4757182768.0,102906,互联网服
601336,新华保险,8.112638473510742,67255418715.0,104223,保险
600616,金枫酒业,5.107526779174805,5231618709.0,104824,酿酒行业
600318,新力金融,4.35308313369751,4424839464.160001,105613,多元金融
603617,君禾股份,0.0,3106745213.7,110358,通用设备
600358,国旅联合,8.346213340759277,3539605986.6,110655,文化传媒
603088,宁波精达,5.057803630828857,3127984384.0,112255,通用设备
601099,太平洋,7.868852615356445,22425680857.3,112458,证券
600155,华创阳安,5.017502784729004,15656009832.0,112752,证券
001227,兰州银行,4.339622497558594,3149720535.01,130003,银行
600611,大众交通,3.7617552280426025,5174577164.84,130005,铁路公路
605208,永茂泰,5.423728942871094,2015699850.0,130043,汽车零部
000725,京东方Ａ,8.943089485168457,146608102460.58,130330,光学光电
600621,华鑫股份,7.364016532897949,13611337916.36,130427,证券
000100,TCL科技,9.601874351501465,62800561657.079994,130754,光学光电
000563,陕国投Ａ,5.696202278137207,13239802905.64,130812,多元金融
601377,兴业证券,7.840440273284912,52501905924.159996,131641,证券
000540,中天金融,8.290155410766602,14576549226.029999,131739,房地产开
002101,广东鸿图,-3.0849826335906982,8805633318.9,132227,汽车零部
600109,国金证券,5.882352828979492,29396772493.2,132302,证券
603069,海汽集团,5.949256420135498,11480280000.0,132426,铁路公路
002445,中南文化,8.372093200683594,5545245821.57,133842,游戏
603123,翠微股份,8.320839881896973,9425387463.05,133853,商业百货
600385,退市金泰,9.174311637878418,169900838.66,134402,化学制药
600446,金证股份,7.310215473175049,10745369347.25,134536,互联网服
600880,博瑞传播,6.861314296722412,8000980881.0,144708,教育
