代码,名称,流通市值,最后封板时间,连板数,所属行业
000899,赣能股份,13610665482.75,145339,9,电力行业
001309,德明利,1231000000.0,092500,6,半导体
002204,大连重工,14948804047.68,094600,6,工程机械
002090,金智科技,5727352793.58,132745,5,电网设备
000550,江铃汽车,11727636679.2,093039,3,汽车整车
002813,路畅科技,4131701158.8599997,093012,3,汽车零部
003043,华亚智能,2120390506.52,094918,3,通用设备
002992,宝明科技,1663929858.5,092500,3,光学光电
002589,瑞康医药,5941235985.719999,133215,3,医药商业
000755,山西路桥,3306438051.82,100536,3,铁路公路
002514,宝馨科技,5412914759.28,101236,2,通用设备
002523,天桥起重,4623139171.7300005,140015,2,专用设备
002606,大连电瓷,4364224976.22,093709,2,电网设备
002333,罗普斯金,2774436709.0,110739,2,装修建材
000600,建投能源,6354957254.58,144539,2,电力行业
002272,川润股份,2212605599.58,133436,2,工程机械
600166,福田汽车,21369374152.75,140552,2,汽车整车
603015,弘讯科技,4026021240.0000005,111837,2,专用设备
603917,合力科技,4617760000.0,093052,2,汽车零部
002012,凯恩股份,2934521761.89,092500,2,造纸印刷
