代码,名称,流通市值,最后封板时间,连板数,所属行业
603530,神马电力,1603523226.13,100142,7,电网设备
002454,松芝股份,7548886122.96,092500,7,汽车零部
003028,振邦智能,1502616000.0,092500,6,消费电子
002031,巨轮智能,5639886648.87,093418,5,专用设备
001226,拓山重工,882374909.0,092500,4,通用设备
002058,威尔泰,2249811517.32,093739,4,电网设备
000821,京山轻机,13060025406.779999,095724,4,专用设备
603758,秦安股份,4809215657.04,092505,4,汽车零部
000868,安凯客车,5433969134.88,093309,4,汽车整车
002902,铭普光磁,2255984132.13,134036,3,通信设备
002838,道恩股份,9403481117.66,092500,3,塑料制品
002355,兴民智通,4369539882.0,145427,3,汽车零部
002514,宝馨科技,4216200749.04,092500,3,通用设备
603917,合力科技,3559360000.0,134829,3,汽车零部
002866,传艺科技,2853745468.64,092500,3,消费电子
002843,泰嘉股份,2616557947.5,094212,2,通用设备
002451,摩恩电气,3399013260.0,092500,2,电网设备
002917,金奥博,1924955340.0,101036,2,化学制品
001316,润贝航科,925200000.0,092500,2,贸易行业
300093,金刚玻璃,13824168345.0,134409,2,玻璃玻纤
002623,亚玛顿,7305836677.5,092500,2,光伏设备
002953,日丰股份,2055348915.2,093409,2,电网设备
002805,丰元股份,7156880577.0,141057,2,化学原料
002786,银宝山新,3923249280.0,093333,2,专用设备
603015,弘讯科技,3169076960.0,112518,2,专用设备
000058,深 赛 格,3918693811.76,095203,2,商业百货
603051,鹿山新材,1661276660.0,093431,2,塑料制品
001208,华菱线缆,2179990436.0,094130,2,电网设备
002996,顺博合金,2313366201.6,140800,2,有色金属
002363,隆基机械,3338538081.0099998,134254,1,汽车零部
002571,德力股份,2434178494.08,110718,1,家用轻工
603319,湘油泵,4292702108.9199996,105827,1,汽车零部
002888,惠威科技,970727764.66,140536,1,消费电子
000530,冰山冷热,2807351071.42,111224,1,通用设备
003030,祖名股份,1306228200.0,103421,1,食品饮料
003002,壶化股份,1013420273.25,112254,1,化学制品
002503,搜于特,3643188960.6,133518,1,纺织服装
603330,上海天洋,4060475784.7999997,104119,1,塑料制品
300799,左江科技,2714464927.5,145651,1,软件开发
600259,广晟有色,16089080133.210001,133928,1,小金属
603322,超讯通信,3095965600.0,132124,1,通信服务
002166,莱茵生物,5092227841.05,131757,1,中药
002191,劲嘉股份,14916639633.31,130851,1,包装材料
002248,华东数控,2573738171.9999995,132121,1,通用设备
002050,三花智控,97886969182.53,133842,1,家电行业
301199,迈赫股份,1059878600.0,142003,1,专用设备
300707,威唐工业,2365985000.0,135939,1,汽车零部
603656,泰禾智能,1982252040.0,134603,1,专用设备
002182,云海金属,14319778785.199999,145357,1,小金属
300367,网力退,322107713.95,144442,1,计算机设
002654,万润科技,3080059845.2000003,145536,1,文化传媒
601279,英利汽车,1540068657.8,143728,1,汽车零部
603239,浙江仙通,4380249600.0,145054,1,汽车零部
002549,凯美特气,10981068774.0,141824,1,化学制品
002158,汉钟精机,12470257162.859999,141651,1,通用设备
000683,远兴能源,33161517555.76,141521,1,化学原料
600348,华阳股份,33357350000.0,141517,1,煤炭行业
600477,杭萧钢构,9540414371.869999,140217,1,水泥建材
688017,绿的谐波,10620854735.08,145419,1,通用设备
603728,鸣志电器,9701120000.0,135208,1,电机
002689,远大智能,3922592529.44,134848,1,专用设备
002896,中大力德,2476880524.64,134845,1,通用设备
002565,顺灏股份,5254370126.940001,134706,1,包装材料
002529,海源复材,5655000000.0,103257,1,专用设备
002731,萃华珠宝,4652847283.0,135945,1,珠宝首饰
002079,苏州固锝,10495748846.76,102821,1,半导体
000838,财信发展,7958311021.08,094703,1,房地产开
600272,开开实业,1576000000.0,095112,1,医药商业
600829,人民同泰,3821465854.23,093740,1,医药商业
002943,宇晶股份,3563838254.13,093633,1,通用设备
603779,威龙股份,2305951637.22,093603,1,酿酒行业
603097,江苏华辰,1082400000.0,095411,1,电网设备
600513,联环药业,3199964786.7000003,095821,1,化学制药
002907,华森制药,3936324108.6,093351,1,中药
605588,冠石科技,623908500.0,093230,1,半导体
300113,顺网科技,6362593822.85,101121,1,游戏
603527,众源新材,3376962400.0,140158,1,有色金属
002652,扬子新材,1565241175.44,093106,1,装修建材
002291,星期六,16175842152.96,142854,1,纺织服装
601717,郑煤机,20954289328.899998,093210,1,汽车零部
300930,屹通新材,957570000.0,145457,1,有色金属
002655,共达电声,5146526385.0,092500,1,消费电子
002631,德尔未来,4106284232.8199997,092500,1,装修建材
002753,永东股份,2624394094.52,135248,1,橡胶制品
002747,埃斯顿,18061008002.940002,133921,1,通用设备
002101,广东鸿图,12349041321.1,133651,1,汽车零部
605050,福然德,2128575000.0,101448,1,物流行业
003039,顺控发展,2978430326.2999997,134251,1,公用事业
002528,英飞拓,3986933546.31,102139,1,软件开发
002610,爱康科技,19772588006.05,145306,1,光伏设备
002218,拓日新能,8932910443.800001,101233,1,光伏设备
002738,中矿资源,37565734526.96,101215,1,小金属
001296,长江材料,678561000.0,100818,1,非金属材
002331,皖通科技,2921334426.43,102830,1,互联网服
601886,江河集团,10140368437.0,150000,1,装修装饰
600213,亚星客车,2296800000.0,105412,1,汽车整车
605499,东鹏饮料,12531768700.0,095514,1,食品饮料
002905,金逸影视,2903846400.0,095451,1,文化传媒
000892,欢瑞世纪,1766746443.0,095415,1,文化传媒
300027,华谊兄弟,6823486549.76,145309,1,文化传媒
600969,郴电国际,3622794238.3599997,095207,1,电力行业
600361,华联综超,4094718695.7000003,102318,1,商业百货
601101,昊华能源,12215982408.96,100212,1,煤炭行业
002464,众应退,135638694.88,150000,1,游戏
