代码,名称,流通市值,最后封板时间,连板数,所属行业
002355,兴民智通,5819881509.5,144045,6,汽车零部
002866,传艺科技,3797235971.76,150000,6,消费电子
002953,日丰股份,2736183243.3599997,092500,5,电网设备
002689,远大智能,5233591624.16,095400,4,专用设备
000428,华天酒店,5471399025.0,094303,3,旅游酒店
000899,赣能股份,7678561817.150001,104000,3,电力行业
000622,恒立实业,2589626340.0,093054,3,汽车零部
002033,丽江股份,5934385954.8,092500,3,旅游酒店
600929,雪天盐业,8530702769.919999,134036,2,化学原料
600187,国中水务,4647557709.68,134048,2,公用事业
605179,一鸣食品,862540000.0,101744,2,食品饮料
002361,神剑股份,4238269549.15,092500,2,塑料制品
002231,奥维通信,1966436173.3899999,102418,2,通信服务
