代码,名称,流通市值,最后封板时间,连板数,所属行业
002090,金智科技,6298490484.99,143033,6,电网设备
000755,山西路桥,3635861769.16,092500,4,铁路公路
002992,宝明科技,1830322844.3500001,142930,4,光学光电
002589,瑞康医药,6537653497.8,093142,4,医药商业
002333,罗普斯金,3052307874.0,145545,3,装修建材
002514,宝馨科技,5955868338.0,094254,3,通用设备
000600,建投能源,6987182847.66,093424,3,电力行业
000722,湖南发展,7899973959.639999,093806,2,电力行业
000533,顺钠股份,3157400064.0,150000,2,电网设备
600192,长城电工,2783012400.0,100717,2,电网设备
002339,积成电子,3278975876.5499997,100445,2,电网设备
002888,惠威科技,1137653840.38,094527,2,消费电子
000404,长虹华意,4731214049.599999,093215,2,家电行业
002526,山东矿机,5247502520.28,093545,2,专用设备
603329,上海雅仕,2914661721.4,093044,2,物流行业
300006,莱美药业,3938940949.0499997,131803,1,化学制药
600336,澳柯玛,5647146444.66,110136,1,家电行业
600056,中国医药,24105065825.36,102315,1,医药商业
603963,大理药业,4183088000.0,102557,1,中药
002317,众生药业,11661982028.449999,132321,1,中药
002864,盘龙药业,2333654218.6000004,105033,1,中药
002543,万和电气,4825921402.35,111621,1,家电行业
600393,粤泰股份,1719477660.48,145141,1,房地产开
600272,开开实业,1707200000.0,132018,1,医药商业
600259,广晟有色,17290253251.39,093832,1,小金属
002084,海鸥住工,2788211565.02,133530,1,装修装饰
603227,雪峰科技,6837306000.000001,135504,1,化学制品
002337,赛象科技,2586015304.4,092500,1,专用设备
002118,紫鑫药业,3688354886.4,143212,1,中药
600381,青海春天,8066214581.34,141140,1,食品饮料
000856,冀东装备,2231410000.0,141245,1,专用设备
002997,瑞鹄模具,2517900000.0,141654,1,汽车零部
002689,远大智能,4598901586.24,142145,1,专用设备
603477,巨星农牧,17173650258.0,145435,1,农牧饲渔
002576,通达动力,2421836691.42,144657,1,电机
000601,韶能股份,6543962392.86,095924,1,电力行业
000950,重药控股,10179007859.439999,093603,1,医药商业
002591,恒大高新,1222075036.4399998,130121,1,综合行业
603669,灵康药业,5091867773.8,093719,1,化学制药
600624,复旦复华,4923079351.900001,095859,1,综合行业
002718,友邦吊顶,940449934.93,093903,1,装修建材
002225,濮耐股份,3838007315.2000003,131003,1,装修建材
603161,科华控股,1670168000.0,092506,1,汽车零部
603327,福蓉科技,7751731000.0,094007,1,消费电子
603122,合富中国,1431994948.0,094033,1,医疗器械
600101,明星电力,4673688310.3,094101,1,电力行业
000709,河钢股份,28877947874.72,094209,1,钢铁行业
000545,金浦钛业,4887599356.16,095636,1,化学原料
600833,第一医药,2576647307.8500004,094218,1,医药商业
600152,维科技术,3419808293.58,144837,1,电子元件
603595,东尼电子,8405266157.679999,145640,1,消费电子
001308,康冠科技,1771346362.5,093136,1,消费电子
603191,望变电气,1985677751.68,144547,1,电网设备
600868,梅雁吉祥,6206946180.33,110716,1,电力行业
603969,银龙股份,4272280000.0,095450,1,通用设备
002767,先锋电子,1529472866.38,095451,1,仪器仪表
603612,索通发展,18969844026.370003,145010,1,非金属材
