代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
600350,山东高速,6.142034530639648,26605747189.210003,092502,铁路公路
000531,穗恒运Ａ,4.965517520904541,6256176312.240001,093000,电力行业
002767,先锋电子,-0.24529844522476196,1525721093.1999998,093118,仪器仪表
000950,重药控股,3.5653650760650635,10541926645.599998,093206,医药商业
600699,均胜电子,3.974895477294922,20398141743.84,093206,汽车零部
000048,京基智农,8.022283554077148,10145609057.5,093545,房地产开
600035,楚天高速,6.211180210113525,5506596381.42,094025,铁路公路
000498,山东路桥,8.348793983459473,8729528515.199999,094633,工程建设
002227,奥 特 迅,2.9453015327453613,3600487542.92,095024,电源设备
603663,DR三祥新,5.559025764465332,5085768156.299999,095047,化学原料
002331,皖通科技,5.924855709075928,2806471998.13,100003,互联网服
301091,深城交,14.926372528076172,1708566508.0800002,100321,工程咨询
002487,大金重工,5.666437149047852,25193933298.940002,100645,风电设备
002531,天顺风能,6.2820515632629395,29330040940.539997,101145,风电设备
600101,明星电力,10.009016990661621,5141478574.0,102022,电力行业
002978,安宁股份,6.890547275543213,4082150000.0,102424,钢铁行业
002502,鼎龙文化,2.915451765060425,2939691739.9199996,104733,文化传媒
002364,中恒电气,7.006369590759277,4411068648.0,111600,电源设备
001319,铭科精技,7.32436466217041,1015252000.0,131106,汽车零部
000728,国元证券,7.512520790100098,27635902480.2,132124,证券
002843,泰嘉股份,5.2272725105285645,3889137495.0,132600,通用设备
002244,滨江集团,7.28554630279541,24489889646.2,133300,房地产开
600903,贵州燃气,4.737515926361084,9310353520.86,135150,燃气
002062,宏润建设,6.394557476043701,7578368271.64,142354,工程建设
002689,远大智能,6.108597278594971,4879829963.68,145006,专用设备
