代码,名称,流通市值,最后封板时间,连板数,所属行业
002909,集泰股份,6194175350.219999,145621,11,化学制品
002703,浙江世宝,7505003193.64,103339,10,汽车零部
603530,神马电力,1457551305.5900002,141321,6,电网设备
002454,松芝股份,6860918042.160001,092500,6,汽车零部
003028,振邦智能,1365890000.0,093030,5,消费电子
002031,巨轮智能,5118709004.75,101742,4,专用设备
603758,秦安股份,4370418608.04,092503,3,汽车零部
000821,京山轻机,11872750369.800001,145012,3,专用设备
002860,星帅尔,3521414738.3799996,134539,3,家电行业
000868,安凯客车,4942638592.32,135942,3,汽车整车
001226,拓山重工,802108099.0,092500,3,通用设备
002058,威尔泰,2045153090.4899998,092500,3,电网设备
002514,宝馨科技,3833917106.88,105030,2,通用设备
603655,朗博科技,2154980000.0,145206,2,汽车零部
000996,中国中期,2849700000.0,102721,2,汽车服务
002255,海陆重工,3897101952.15,095336,2,电源设备
002188,巴士在线,1488658528.26,092500,2,房地产服
002355,兴民智通,3974553226.0000005,102112,2,汽车零部
002838,道恩股份,8547662619.820001,092500,2,塑料制品
600399,抚顺特钢,36996596000.0,144410,2,钢铁行业
600621,华鑫股份,14513102314.56,143700,2,证券
603917,合力科技,3236352000.0,094054,2,汽车零部
002011,盾安环境,11507160851.12,094518,2,家电行业
601127,小康股份,87829466158.32,103055,2,汽车整车
603006,联明股份,2042625808.34,144359,2,汽车零部
002866,传艺科技,2594151307.44,092500,2,消费电子
002902,铭普光磁,2051020564.5700002,093639,2,通信设备
002632,道明光学,4336143465.06,112348,2,塑料制品
