代码,名称,流通市值,最后封板时间,连板数,所属行业
000899,赣能股份,9298182225.849998,093242,5,电力行业
001268,联合精密,905021022.36,092500,3,通用设备
002528,英飞拓,4981050834.76,093000,3,软件开发
001309,德明利,840800000.0,092500,2,半导体
002843,泰嘉股份,3557342827.5000005,094045,2,通用设备
000629,攀钢钒钛,39511384081.2,093730,2,钢铁行业
002204,大连重工,10216947469.28,094857,2,工程机械
002553,南方精工,2654553297.33,093203,2,汽车零部
002892,科力尔,3312103124.33,111739,2,电机
601908,京运通,23421647751.699997,102057,2,电力行业
000600,建投能源,5559225042.599999,093721,2,电力行业
002598,山东章鼓,3095433817.98,093951,2,通用设备
002501,利源精制,9161414475.84,092500,2,有色金属
002989,中天精装,1598559600.0,144948,2,装修装饰
002077,大港股份,4502516918.68,131406,2,半导体
002805,丰元股份,7952377910.400001,130009,1,化学原料
603978,深圳新星,3967629751.62,131122,1,有色金属
688676,金盘科技,5558406507.72,141049,1,电网设备
603127,昭衍新药,40552883567.35,142955,1,医疗服务
002667,鞍重股份,5038069106.25,142421,1,专用设备
603638,艾迪精密,17725575436.8,140730,1,工程机械
002922,伊戈尔,5300681285.33,112557,1,电子元件
600200,江苏吴中,5701042049.28,112150,1,化学制药
000659,珠海中富,4371388568.0,142048,1,包装材料
002838,道恩股份,9011187814.09,110912,1,塑料制品
000968,蓝焰控股,11000505244.199999,110745,1,燃气
600220,江苏阳光,6027690301.88,131550,1,纺织服装
603363,傲农生物,14099311520.98,144213,1,农牧饲渔
002090,金智科技,3910096502.7299995,132712,1,电网设备
002124,天邦食品,11639850568.61,143742,1,农牧饲渔
002765,蓝黛科技,3937160135.0,143703,1,光学光电
000702,正虹科技,1602473801.76,144636,1,农牧饲渔
002567,唐人神,11673548459.98,145106,1,农牧饲渔
600975,新五丰,6370113699.84,145334,1,农牧饲渔
000876,新 希 望,73889672153.22,141533,1,农牧饲渔
002840,华统股份,9345733864.86,144148,1,食品饮料
002714,牧原股份,221788628604.24002,141545,1,农牧饲渔
002407,多氟多,36500244423.65,132842,1,化学制品
603050,科林电气,2460727217.0,140729,1,电网设备
002458,益生股份,7082439698.01,140318,1,农牧饲渔
603868,飞科电器,38101932000.0,105851,1,家电行业
002548,金新农,4096133299.04,140209,1,农牧饲渔
002028,思源电气,22056131934.98,142948,1,电网设备
600438,通威股份,295436607315.92,145429,1,光伏设备
603477,巨星农牧,13734102913.2,131742,1,农牧饲渔
603520,司太立,10587574839.66,135325,1,化学制药
002348,高乐股份,2024544744.93,104206,1,家用轻工
002046,国机精工,8064488819.64,095336,1,通用设备
002219,恒康医疗,11869555939.86,092500,1,医疗服务
002474,榕基软件,3175437354.2,094903,1,互联网服
002642,荣联科技,3530685273.68,093012,1,互联网服
002068,黑猫股份,12148276041.66,093033,1,橡胶制品
002696,百洋股份,2270730153.96,093400,1,农牧饲渔
600517,国网英大,11321853953.0,094108,1,电网设备
000550,江铃汽车,9166428668.8,094224,1,汽车整车
000543,皖能电力,8003070021.66,094242,1,电力行业
002800,天顺股份,1782077990.0,094342,1,物流行业
000697,炼石航空,4995856427.78,094539,1,航天航空
002965,祥鑫科技,2484087232.38,094451,1,通用设备
603103,横店影视,9322740000.0,094630,1,文化传媒
600027,华电国际,35271067419.49,094832,1,电力行业
300565,科信技术,2367902179.6800003,095430,1,通信设备
603706,东方环宇,3240338236.54,095353,1,燃气
600818,中路股份,4856720943.1,111457,1,交运设备
603963,大理药业,3792022000.0000005,095659,1,中药
605319,无锡振华,1115100000.0,100246,1,汽车零部
002145,中核钛白,18204321536.43,100318,1,化学原料
600477,杭萧钢构,11069464982.26,104642,1,水泥建材
603938,三孚股份,15091803366.64,100815,1,化肥行业
688189,南新制药,2671000000.0,104956,1,化学制药
603867,新化股份,5487086715.0,101540,1,化学制品
688071,华依科技,870321580.8,101621,1,汽车零部
300990,同飞股份,1628406000.0,101648,1,通用设备
002616,长青集团,2492098462.1,101927,1,电力行业
002157,正邦科技,15650388771.050001,103036,1,农牧饲渔
600129,太极集团,13020105594.72,103206,1,中药
002100,天康生物,14856411032.94,103606,1,农牧饲渔
603122,合富中国,1364325972.0,103627,1,医疗器械
003022,联泓新科,10927578480.0,145400,1,化学制品
