代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
600537,亿晶光电,5.165289402008057,5987668674.12,093002,光伏设备
000600,建投能源,3.3333334922790527,5744532544.0199995,093100,电力行业
605333,沪光股份,1.3198416233062744,1440987100.0,093140,汽车零部
002843,泰嘉股份,4.427391052246094,3714840296.2500005,093212,通用设备
002598,山东章鼓,0.9598603248596191,3125145660.91,093218,通用设备
600517,国网英大,3.691275119781494,11739774736.5,093237,电网设备
603629,利通电子,8.289241790771484,2578800000.0000005,093307,消费电子
000509,华塑控股,4.914004802703857,3524735007.7099996,093403,医疗服务
600130,波导股份,3.896103858947754,3072000000.0,093405,消费电子
003028,振邦智能,-0.6094282269477844,1519330000.0,093612,消费电子
002388,新亚制程,3.642987012863159,2750009319.2000003,093742,电子元件
002157,正邦科技,8.766716003417969,17022413938.2,093851,农牧饲渔
600864,哈投股份,3.5123965740203857,10423658305.199999,094126,证券
601008,连云港,6.2650604248046875,4428955013.49,094444,航运港口
605166,聚合顺,9.899457931518555,2665868641.52,094502,化学制品
002077,大港股份,-4.282115936279297,4309713927.2,095242,半导体
600101,明星电力,7.549019813537598,4623116389.900001,095453,电力行业
601908,京运通,8.969072341918945,25522352240.77,095858,电力行业
600508,上海能源,8.7542085647583,14006274840.0,100647,煤炭行业
002514,宝馨科技,0.6734006404876709,4969687348.08,100939,通用设备
002323,雅博股份,7.47922420501709,8227504854.96,101042,装修建材
603050,科林电气,0.0,2460727217.0,101711,电网设备
002452,长高电新,8.992247581481934,3600732959.0,101924,电网设备
000902,新洋丰,9.9943208694458,22961996450.77,101942,化肥行业
603103,横店影视,6.326530933380127,9912546000.0,103214,文化传媒
603978,深圳新星,5.855290412902832,4199946006.4199996,130011,有色金属
002542,中化岩土,5.633802890777588,4715955870.0,131836,工程建设
002534,西子洁能,8.581645011901855,13218805045.099998,140903,电源设备
002609,捷顺科技,7.235141754150391,3729259230.3,141448,互联网服
603053,成都燃气,6.770833492279053,5749122500.0,144533,燃气
