代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
000957,中通客车,10.005210876464844,12516202088.96,092500,汽车整车
002298,中电兴发,3.387334108352661,4150420223.04,092500,软件开发
002734,利民股份,4.960317611694336,3436965233.46,092500,农药兽药
603669,灵康药业,1.6871165037155151,4781739849.9,093002,化学制药
688700,东威科技,15.415946960449219,8354904362.1,093050,专用设备
603232,格尔软件,4.783808708190918,2639313955.8700004,093226,软件开发
000561,烽火电子,7.430730819702148,5133069592.74,093518,通信设备
002869,金溢科技,4.272914886474609,2368946902.77,093839,电子元件
600895,张江高科,5.714285850524902,19482514539.0,093846,房地产开
603969,银龙股份,3.5196688175201416,4205000000.0,094730,通用设备
000851,高鸿股份,5.543237209320068,5224935932.16,095403,通信设备
603239,浙江仙通,5.878824234008789,4778208000.0,102145,汽车零部
601778,晶科科技,7.282415866851807,12327323014.76,104244,电力行业
002685,华东重机,5.384615421295166,3344944600.7400002,105406,通用设备
002601,龙佰集团,6.619047164916992,36087327558.55,105718,化学原料
000757,浩物股份,6.572769641876221,2320699714.52,105957,汽车服务
601869,长飞光纤,7.326865196228027,13035333113.119999,112328,通信设备
688676,金盘科技,14.023372650146484,6438927484.349999,112922,电网设备
301268,铭利达,15.016910552978516,1724424727.21,130851,通用设备
002335,科华数据,8.508088111877441,14365106662.82,131439,电源设备
601222,林洋能源,8.44390869140625,18520920712.44,132625,仪器仪表
600418,江淮汽车,8.720597267150879,35878264617.15,135036,汽车整车
300565,科信技术,15.362149238586426,3142880917.25,140000,通信设备
