代码,名称,流通市值,最后封板时间,连板数,所属行业
002591,恒大高新,1967454136.68,092500,6,综合行业
002796,世嘉科技,3018501894.66,103954,5,专用设备
000631,顺发恒业,13403180615.68,093303,4,房地产开
603067,振华股份,9144407059.54,111510,3,化学原料
002965,祥鑫科技,4466623969.47,111827,3,通用设备
000544,中原环保,7700007455.200001,093133,3,公用事业
002101,广东鸿图,17590111963.16,140209,2,汽车零部
000821,京山轻机,12173999259.779999,144921,2,专用设备
600348,华阳股份,43650750000.0,144522,2,煤炭行业
605208,永茂泰,2282731470.0,134013,2,汽车零部
002997,瑞鹄模具,3150808500.0,095045,2,汽车零部
603217,元利科技,2676913634.01,111808,2,化学制品
002172,澳洋健康,3301539750.6699996,140703,2,医疗服务
002547,春兴精工,5926269523.0199995,092500,2,消费电子
605333,沪光股份,1867088800.0,093956,2,汽车零部
002090,金智科技,7924036222.08,093148,2,电网设备
000663,永安林业,2707674611.72,093909,2,装修建材
002866,传艺科技,4874999316.88,093012,2,消费电子
000819,岳阳兴长,5800523444.45,143303,2,石油行业
002863,今飞凯达,3322133507.7000003,093057,2,汽车零部
300187,永清环保,5484792957.84,100706,2,环保行业
002835,同为股份,1429376466.95,094939,2,计算机设
605128,上海沿浦,2239827000.0,130103,2,汽车零部
603170,宝立食品,636959200.0,092504,2,食品饮料
001696,宗申动力,6444598297.67,144239,2,交运设备
