代码,名称,流通市值,最后封板时间,连板数,所属行业
002090,金智科技,6929537724.450001,142757,7,电网设备
000755,山西路桥,4001888121.7599998,092500,5,铁路公路
002589,瑞康医药,7191418847.58,141754,5,医药商业
002514,宝馨科技,6554225343.12,135951,4,通用设备
002333,罗普斯金,3355828685.0,144930,4,装修建材
600192,长城电工,3061313640.0,094059,3,电网设备
000404,长虹华意,5204335454.56,134748,3,家电行业
000722,湖南发展,8689043039.039999,094500,3,电力行业
002543,万和电气,5311667739.58,093000,2,家电行业
603191,望变电气,2183912359.44,133859,2,电网设备
000601,韶能股份,7202678079.2699995,093827,2,电力行业
603161,科华控股,1836918000.0,133408,2,汽车零部
002591,恒大高新,1343415820.2,103418,2,综合行业
000709,河钢股份,31744508876.99,093618,2,钢铁行业
002337,赛象科技,2844616834.84,093000,2,专用设备
