代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
002858,力盛体育,3.5460994243621826,1635972491.84,093115,文化传媒
002300,太阳电缆,5.1587300300598145,5220101588.400001,093245,电网设备
002291,星期六,4.147226333618164,16846690972.16,094136,纺织服装
002362,汉王科技,5.691057205200195,2955964382.8,101042,软件开发
603003,龙宇燃油,5.2186174392700195,3002228465.24,102021,贸易行业
002369,卓翼科技,4.783598899841309,2649207063.3999996,104054,消费电子
603416,信捷电气,8.751714706420898,5571798400.0,110429,专用设备
603666,亿嘉和,9.756096839904785,12962357100.0,112023,专用设备
002527,新时达,6.024096488952637,4108653711.36,130500,专用设备
002997,瑞鹄模具,5.51224946975708,2168827500.0,132851,汽车零部
603311,金海高科,8.976261138916016,3084900000.0,134059,家电行业
600969,郴电国际,5.10725212097168,3807819480.3599997,140156,电力行业
603078,江化微,5.68056058883667,7298986107.45,141755,电子化学
002703,浙江世宝,9.964664459228516,8605589513.12,142518,汽车零部
002123,梦网科技,9.196515083312988,7540307466.719999,142651,通信服务
605108,同庆楼,4.455696105957031,1684539596.76,142904,旅游酒店
002635,安洁科技,8.630393981933594,7146935344.440001,143206,消费电子
605050,福然德,9.964412689208984,2340675000.0,144349,物流行业
