代码,名称,流通市值,最后封板时间,连板数,所属行业
000899,赣能股份,12371558302.6,101412,8,电力行业
001309,德明利,1119000000.0,092500,5,半导体
002204,大连重工,13596845025.28,150000,5,工程机械
000629,攀钢钒钛,52653214003.86,101945,5,钢铁行业
002348,高乐股份,2699392993.2400002,100533,4,家用轻工
002090,金智科技,5208136710.48,143357,4,电网设备
002219,恒康医疗,15793644105.77,093518,4,医疗服务
002144,宏达高科,1682375168.8,102248,3,纺织服装
002589,瑞康医药,5402166311.34,092500,2,医药商业
002992,宝明科技,1512520127.3,092500,2,光学光电
000550,江铃汽车,10659602569.599998,093918,2,汽车整车
002512,达华智能,4050642728.8799996,131600,2,计算机设
003043,华亚智能,1927627733.2,131348,2,通用设备
600811,东方集团,12550887021.050001,150000,2,农牧饲渔
002362,汉王科技,3385922838.48,100815,2,软件开发
002813,路畅科技,3756413821.3799996,093021,2,汽车零部
000755,山西路桥,3007516530.5299997,110645,2,铁路公路
600255,鑫科材料,5859192100.4,093002,2,有色金属
600869,远东股份,13071987673.939999,130007,1,电网设备
603386,DR骏亚科,4069242323.2000003,111442,1,电子元件
603015,弘讯科技,3658181950.0000005,104902,1,专用设备
601799,星宇股份,50822368640.1,135652,1,汽车零部
000751,锌业股份,5131922355.56,112327,1,有色金属
002073,软控股份,7592867761.620001,103739,1,专用设备
002965,祥鑫科技,2843646263.25,112854,1,通用设备
002324,普利特,9627404044.460001,145654,1,塑料制品
002126,银轮股份,9334399320.96,142315,1,汽车零部
000400,许继电气,20931403030.08,130527,1,电网设备
603363,傲农生物,15706659712.35,145310,1,农牧饲渔
002970,锐明技术,2626625648.64,133645,1,计算机设
002012,凯恩股份,2668595306.52,132524,1,造纸印刷
600218,全柴动力,4200866003.74,131454,1,汽车零部
000055,方大集团,3204165282.67,134233,1,装修装饰
002514,宝馨科技,4919824264.320001,134212,1,通用设备
600523,贵航股份,10646575737.0,145641,1,汽车零部
600251,冠农股份,9114134728.59,103129,1,农牧饲渔
300978,东箭科技,2751549465.0,134609,1,汽车零部
603612,索通发展,17695912259.300003,134939,1,非金属材
002837,英维克,9550950891.560001,135548,1,专用设备
002808,恒久科技,1393257985.98,141212,1,光学光电
002621,美吉姆,3293805123.91,141921,1,教育
002074,国轩高科,59736650166.399994,143736,1,电池
002523,天桥起重,4204123536.83,142627,1,专用设备
300274,阳光电源,125209798171.92,142954,1,光伏设备
603105,芯能科技,6115000000.0,143228,1,光伏设备
603527,众源新材,3347703520.0,143325,1,有色金属
603585,苏利股份,3896999999.9999995,103251,1,农药兽药
300260,新莱应材,9271696343.039999,111045,1,通用设备
000922,佳电股份,5556450278.5,144424,1,电机
002893,华通热力,1866364350.75,094630,1,公用事业
002825,纳尔股份,2094213376.64,093427,1,塑料制品
600236,桂冠电力,55334292170.03999,103530,1,电力行业
600355,精伦电子,1712470416.0,093003,1,通信设备
600896,退市海医,1049438777.4000001,093227,1,医疗服务
002161,远 望 谷,3662119485.12,093300,1,电子元件
002272,川润股份,2009949531.1499999,093321,1,工程机械
600149,廊坊发展,2562278400.0,093526,1,贸易行业
002388,新亚制程,2904667136.7999997,101406,1,电子元件
002333,罗普斯金,2522215190.0,093900,1,装修建材
002338,奥普光电,4749481260.0,095409,1,仪器仪表
002114,罗平锌电,2415729447.81,102506,1,有色金属
000600,建投能源,5777233867.8,094148,1,电力行业
600343,航天动力,7301080621.12,094559,1,专用设备
600166,福田汽车,19396816538.65,095240,1,汽车整车
002606,大连电瓷,3968219529.36,103000,1,电网设备
600579,克劳斯,2836329586.56,101629,1,专用设备
600784,鲁银投资,4426105420.34,095448,1,综合行业
600393,粤泰股份,1630539160.8,095823,1,房地产开
002649,博彦科技,5576614074.240001,100827,1,互联网服
002256,兆新股份,4618772038.04,095948,1,电网设备
601702,华峰铝业,4218977400.0,100118,1,有色金属
002806,华锋股份,2021705327.2199998,100324,1,有色金属
002101,广东鸿图,14184209346.12,103645,1,汽车零部
002039,黔源电力,7050346958.219999,092500,1,电力行业
603917,合力科技,4197536000.0,104831,1,汽车零部
000868,安凯客车,4942638592.32,101815,1,汽车整车
000025,特  力Ａ,11614454922.4,143115,1,汽车服务
601137,博威合金,13931610831.269999,104405,1,有色金属
000546,金圆股份,15029779265.84,144042,1,水泥建材
