代码,名称,流通市值,最后封板时间,连板数,所属行业
000899,赣能股份,10225073423.6,134042,6,电力行业
001268,联合精密,995415191.26,092500,4,通用设备
001309,德明利,924800000.0,092500,3,半导体
002204,大连重工,11240573586.24,144536,3,工程机械
002989,中天精装,1758873600.0,132230,3,装修装饰
000629,攀钢钒钛,43462522489.32,093124,3,钢铁行业
002696,百洋股份,2498840032.44,133606,2,农牧饲渔
002348,高乐股份,2229561934.29,093609,2,家用轻工
002805,丰元股份,8747875243.8,140400,2,化学原料
002090,金智科技,4301505549.99,093003,2,电网设备
002219,恒康医疗,13069483726.130001,092500,2,医疗服务
000025,特  力Ａ,10255441935.199999,142403,1,汽车服务
002308,威创股份,3828103810.3699994,102521,1,计算机设
002902,铭普光磁,2300300579.17,140751,1,通信设备
600992,贵绳股份,3276853300.0,131618,1,通用设备
002297,博云新材,5121342158.43,132927,1,航天航空
002953,日丰股份,2961655370.32,143354,1,电网设备
000822,山东海化,9604336365.98,112309,1,化学原料
002144,宏达高科,1390028008.32,112739,1,纺织服装
600863,内蒙华电,28848844124.62,142802,1,电力行业
002289,宇顺电子,2118877848.6599998,104245,1,光学光电
603185,上机数控,68390255781.07,143751,1,光伏设备
600157,永泰能源,39769797819.55,143320,1,电力行业
601727,上海电气,58214504623.2,143645,1,电源设备
600470,六国化工,4506624000.0,101826,1,化肥行业
000933,神火股份,31084242104.37,111851,1,有色金属
000709,河钢股份,27497751836.59,135724,1,钢铁行业
002735,王子新材,3060246808.44,094448,1,包装材料
600935,华塑股份,2219442500.0,095129,1,化学原料
002397,梦洁股份,2395741659.52,094403,1,纺织服装
603067,振华股份,7475561766.68,140245,1,化学原料
600686,金龙汽车,5025589121.45,141830,1,汽车整车
603955,大千生态,1890579600.0,093714,1,工程建设
002280,联络互动,6972574853.55,144442,1,软件开发
600956,新天绿能,1894585000.0,093546,1,燃气
002721,金一文化,3830104249.23,093227,1,珠宝首饰
600630,龙头股份,2791340692.29,093046,1,纺织服装
605128,上海沿浦,1879035500.0,112114,1,汽车零部
002356,赫美集团,7618388767.009999,092500,1,珠宝首饰
000545,金浦钛业,4739788891.759999,144045,1,化学原料
