代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
605266,健之佳,2.356187582015991,2806077791.7,092503,医药商业
002845,同兴达,1.842374563217163,3172287874.8999996,093500,光学光电
002547,春兴精工,-4.298642635345459,4650857158.14,093542,消费电子
002428,云南锗业,6.776859760284424,8286988117.08,093818,小金属
600616,金枫酒业,4.728789806365967,5037607273.5,094153,酿酒行业
600418,江淮汽车,8.128544807434082,32489235927.72,094338,汽车整车
002194,武汉凡谷,1.9267823696136475,5313362343.38,094724,通信设备
600213,亚星客车,6.279733657836914,2457400000.0,095014,汽车整车
600770,综艺股份,7.891491889953613,11375000000.0,095104,综合行业
002289,宇顺电子,9.585492134094238,2235125511.1800003,100054,光学光电
301135,瑞德智能,9.83543872833252,647804173.8,100248,消费电子
002724,海洋王,3.9297659397125244,4594534908.48,100718,电子元件
601599,浙文影业,4.829545497894287,3294155117.16,101034,文化传媒
601595,上海电影,6.660323619842529,5024322000.0,101916,文化传媒
000793,华闻集团,6.800000190734863,5235892550.82,102451,文化传媒
002445,中南文化,4.888888835906982,5616643836.44,102533,游戏
003030,祖名股份,-2.937062978744507,1533878800.0,102657,食品饮料
603208,江山欧派,8.015552520751953,7588881787.3,103343,装修建材
600506,香梨股份,8.909090995788574,1769528338.54,103802,农牧饲渔
002514,宝馨科技,2.7397260665893555,4986308376.0,104833,通用设备
601615,明阳智能,8.507223129272461,65348866325.59999,105450,风电设备
002518,科士达,9.129815101623535,17299918508.4,105615,电源设备
002820,桂发祥,5.494505405426025,1730899393.92,105639,食品饮料
002675,东诚药业,8.608205795288086,9959752899.0,110300,化学制药
603076,乐惠国际,8.837559700012207,5232403262.400001,110338,专用设备
603051,鹿山新材,6.843386650085449,1817237000.0,110753,塑料制品
002420,毅昌科技,5.643994331359863,2850035624.7,111327,家电行业
600062,华润双鹤,5.509868144989014,26317701980.6,130012,化学制药
002568,百润股份,8.096437454223633,21547078132.6,130327,酿酒行业
603595,东尼电子,8.401155471801758,7466726326.389999,131026,消费电子
002919,名臣健康,8.84615421295166,3341198043.33,131412,美容护理
600872,中炬高新,7.21809196472168,27571613284.34,131803,食品饮料
603229,奥翔药业,9.430706977844238,15295046754.240002,131803,化学制药
002337,赛象科技,0.21367523074150085,2756457222.19,132348,专用设备
600609,金杯汽车,5.3208136558532715,7353649798.360001,135903,汽车零部
000089,深圳机场,8.579465866088867,15831731351.16,140127,航空机场
600237,铜峰电子,7.874015808105469,4639117824.3,140844,电子元件
601908,京运通,7.795699119567871,19365114945.219997,141303,电力行业
002123,梦网科技,6.887052059173584,7780955577.360001,142130,通信服务
605303,园林股份,4.8123979568481445,873604782.8,144047,工程建设
002990,盛视科技,6.820765018463135,1779352800.0,144333,互联网服
603214,爱婴室,5.002908706665039,2536330694.8,144559,商业百货
