代码,名称,流通市值,最后封板时间,连板数,所属行业
000899,赣能股份,11249532115.849998,093030,7,电力行业
001268,联合精密,1094983693.72,092500,5,通用设备
002204,大连重工,12360768204.800001,111218,4,工程机械
000629,攀钢钒钛,47843132463.54,145012,4,钢铁行业
001309,德明利,1017200000.0,092500,4,半导体
002090,金智科技,4732854295.95,092500,3,电网设备
002219,恒康医疗,14366702954.529999,105354,3,医疗服务
002348,高乐股份,2451663889.4300003,094506,3,家用轻工
002735,王子新材,3366800029.32,144351,2,包装材料
600630,龙头股份,3071749346.31,132801,2,纺织服装
002902,铭普光磁,2530192148.19,093306,2,通信设备
002144,宏达高科,1529306608.36,095421,2,纺织服装
603929,亚翔集成,2470708800.0,102505,1,装修装饰
000816,智慧农业,7004965986.62,130645,1,通用设备
688218,江苏北人,1431207628.13,103253,1,专用设备
000584,哈工智能,5818635911.4,103312,1,专用设备
002362,汉王科技,3077923752.44,104136,1,软件开发
603085,天成自控,3483821333.94,141454,1,汽车零部
003031,中瓷电子,5616643395.12,144812,1,通信设备
603239,浙江仙通,4512902400.0,141116,1,汽车零部
000550,江铃汽车,9690076460.400002,132330,1,汽车整车
002553,南方精工,2689697427.48,132330,1,汽车零部
002813,路畅科技,3415350800.84,133515,1,汽车零部
600811,东方集团,11416550293.2,133957,1,农牧饲渔
600062,华润双鹤,30584328646.2,143510,1,化学制药
603129,春风动力,18387479862.48,134606,1,交运设备
300840,酷特智能,1728310505.6,135430,1,纺织服装
603229,奥翔药业,18566241724.8,143933,1,化学制药
002885,京泉华,4380056397.78,144709,1,消费电子
002979,雷赛智能,3736154036.82,101639,1,专用设备
688206,概伦电子,1422099071.43,143449,1,半导体
002992,宝明科技,1375305058.4,100606,1,光学光电
603893,瑞芯微,20263053382.0,140521,1,半导体
600255,鑫科材料,5323290383.9,094048,1,有色金属
601956,东贝集团,1529091005.58,092504,1,家电行业
603969,银龙股份,4062030000.0,093517,1,通用设备
605178,时空科技,1629058208.6399999,145301,1,装修装饰
001896,豫能控股,8686938244.85,133503,1,电力行业
605056,咸亨国际,653763400.0,093547,1,仪器仪表
002589,瑞康医药,4908974907.12,141906,1,医药商业
688290,景业智能,948805879.0300001,093653,1,专用设备
300802,矩子科技,3281594112.0,094048,1,专用设备
002031,巨轮智能,7947959072.829999,094157,1,专用设备
605333,沪光股份,1584898100.0,094347,1,汽车零部
000755,山西路桥,2732996766.0800004,094242,1,铁路公路
002512,达华智能,3683356471.08,094327,1,计算机设
603348,文灿股份,16515343663.350002,145124,1,汽车零部
002577,雷柏科技,3397208650.0,095509,1,计算机设
603011,合锻智能,3179627367.0,103420,1,专用设备
003043,华亚智能,1752310848.8600001,095615,1,通用设备
000633,合金投资,3204042591.36,095909,1,小金属
002896,中大力德,2805656656.75,100027,1,通用设备
603978,深圳新星,4619774666.88,145624,1,有色金属
