代码,名称,流通市值,最后封板时间,连板数,所属行业
603530,神马电力,1603523226.13,100142,7,电网设备
002454,松芝股份,7548886122.96,092500,7,汽车零部
003028,振邦智能,1502616000.0,092500,6,消费电子
002031,巨轮智能,5639886648.87,093418,5,专用设备
001226,拓山重工,882374909.0,092500,4,通用设备
002058,威尔泰,2249811517.32,093739,4,电网设备
000821,京山轻机,13060025406.779999,095724,4,专用设备
603758,秦安股份,4809215657.04,092505,4,汽车零部
000868,安凯客车,5433969134.88,093309,4,汽车整车
002902,铭普光磁,2255984132.13,134036,3,通信设备
002838,道恩股份,9403481117.66,092500,3,塑料制品
002355,兴民智通,4369539882.0,145427,3,汽车零部
002514,宝馨科技,4216200749.04,092500,3,通用设备
603917,合力科技,3559360000.0,134829,3,汽车零部
002866,传艺科技,2853745468.64,092500,3,消费电子
002843,泰嘉股份,2616557947.5,094212,2,通用设备
002451,摩恩电气,3399013260.0,092500,2,电网设备
002917,金奥博,1924955340.0,101036,2,化学制品
001316,润贝航科,925200000.0,092500,2,贸易行业
300093,金刚玻璃,13824168345.0,134409,2,玻璃玻纤
002623,亚玛顿,7305836677.5,092500,2,光伏设备
002953,日丰股份,2055348915.2,093409,2,电网设备
002805,丰元股份,7156880577.0,141057,2,化学原料
002786,银宝山新,3923249280.0,093333,2,专用设备
603015,弘讯科技,3169076960.0,112518,2,专用设备
000058,深 赛 格,3918693811.76,095203,2,商业百货
603051,鹿山新材,1661276660.0,093431,2,塑料制品
001208,华菱线缆,2179990436.0,094130,2,电网设备
002996,顺博合金,2313366201.6,140800,2,有色金属
