代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
000584,哈工智能,-4.785276412963867,5788796752.88,092500,专用设备
600187,国中水务,6.148867130279541,5424907219.84,092502,公用事业
002486,嘉麟杰,-0.9345794320106506,2645760000.0,093003,纺织服装
002512,达华智能,0.3012048006057739,3494466395.64,093051,计算机设
002168,惠程科技,4.392764568328857,3206791179.72,093248,游戏
000680,山推股份,0.0,6045828663.16,093345,工程机械
603629,利通电子,8.0,2381400000.0,093621,消费电子
002902,铭普光磁,-1.1132941246032715,2091182344.7,093712,通信设备
002192,融捷股份,8.781207084655762,45838368333.200005,094257,电池
600817,宇通重工,1.2464046478271484,2003090823.3600001,094556,工程机械
000547,航天发展,6.8085103034973145,15813764508.35,095051,通信设备
600052,东望时代,7.068607330322266,4347602916.150001,095253,文化传媒
605338,巴比食品,6.233766078948975,2822548264.0,095641,食品饮料
603876,鼎胜新材,7.5911149978637695,24245898364.71,095824,有色金属
000546,金圆股份,7.753254413604736,13601093023.84,100354,水泥建材
603728,XD鸣志电,7.092860221862793,9547200000.0,100538,电机
300660,江苏雷利,14.440052032470703,5572681840.73,101045,电机
001210,金房节能,4.499274253845215,653472000.0,103754,公用事业
002623,亚玛顿,7.352941513061523,8700262275.0,104254,光伏设备
002166,莱茵生物,7.66961669921875,6716036719.0,105548,中药
600863,内蒙华电,8.943089485168457,26238089000.219997,110341,电力行业
605117,德业股份,6.316676616668701,23558962000.0,110515,家电行业
002753,永东股份,7.521186828613281,2461895289.0,111451,橡胶制品
000426,兴业矿业,9.749303817749023,11625696866.96,111612,有色金属
001209,洪兴股份,8.712614059448242,549771992.0,112833,纺织服装
002518,科士达,8.989145278930664,18164914433.82,112939,电源设备
600452,涪陵电力,8.795900344848633,11652107550.72,133252,电力行业
002031,巨轮智能,9.116022109985352,7352327479.55,141327,专用设备
603456,九洲药业,9.329620361328125,45629392984.8,142110,化学制药
