代码,名称,流通市值,最后封板时间,连板数,所属行业
000899,赣能股份,13610665482.75,145339,9,电力行业
001309,德明利,1231000000.0,092500,6,半导体
002204,大连重工,14948804047.68,094600,6,工程机械
002090,金智科技,5727352793.58,132745,5,电网设备
000550,江铃汽车,11727636679.2,093039,3,汽车整车
002813,路畅科技,4131701158.8599997,093012,3,汽车零部
003043,华亚智能,2120390506.52,094918,3,通用设备
002992,宝明科技,1663929858.5,092500,3,光学光电
002589,瑞康医药,5941235985.719999,133215,3,医药商业
000755,山西路桥,3306438051.82,100536,3,铁路公路
002514,宝馨科技,5412914759.28,101236,2,通用设备
002523,天桥起重,4623139171.7300005,140015,2,专用设备
002606,大连电瓷,4364224976.22,093709,2,电网设备
002333,罗普斯金,2774436709.0,110739,2,装修建材
000600,建投能源,6354957254.58,144539,2,电力行业
002272,川润股份,2212605599.58,133436,2,工程机械
600166,福田汽车,21369374152.75,140552,2,汽车整车
603015,弘讯科技,4026021240.0000005,111837,2,专用设备
603917,合力科技,4617760000.0,093052,2,汽车零部
002012,凯恩股份,2934521761.89,092500,2,造纸印刷
002435,长江健康,6333859213.440001,140206,1,化学制药
002501,利源精制,9196116803.4,135239,1,有色金属
003021,兆威机电,3037708800.0,102418,1,电机
002876,三利谱,5739922315.45,102727,1,光学光电
000676,智度股份,7256929536.5,111303,1,文化传媒
000722,湖南发展,7180528622.54,133203,1,电力行业
000533,顺钠股份,2869741056.0000005,104942,1,电网设备
000953,河化股份,2357826935.8,110212,1,化学制药
002031,巨轮智能,8729725539.01,144845,1,专用设备
605298,必得科技,640926000.0,142059,1,交运设备
603656,泰禾智能,2161634544.0,142925,1,专用设备
002421,达实智能,6320657779.0,141954,1,互联网服
002066,瑞泰科技,3014550000.0,112512,1,装修建材
002216,三全食品,13378560646.44,144809,1,食品饮料
000404,长虹华意,4299838650.96,145336,1,家电行业
301091,深城交,1528455536.6399999,141254,1,工程咨询
002869,金溢科技,2605371874.56,135300,1,电子元件
000539,粤电力Ａ,12667392950.24,134251,1,电力行业
002083,孚日股份,4021764565.14,133812,1,纺织服装
603895,天永智能,3253208000.0,132619,1,专用设备
603758,秦安股份,4585429162.049999,132341,1,汽车零部
002045,国光电器,4204491192.0,095548,1,消费电子
002530,金财互联,4565692102.05,103015,1,互联网服
002526,山东矿机,4772057661.059999,093927,1,专用设备
002967,广电计量,4710339472.089999,092500,1,专业服务
603076,乐惠国际,5156361415.68,093224,1,专用设备
603329,上海雅仕,2650254742.96,092506,1,物流行业
605365,立达信,884500000.0000001,102042,1,家电行业
300882,万胜智能,1013297367.55,093003,1,电网设备
002339,积成电子,2980449438.4500003,093012,1,电网设备
603388,元成股份,2218405226.8,093406,1,工程建设
002888,惠威科技,1033888982.5,093536,1,消费电子
600478,科力远,16275040182.800001,130017,1,电子元件
603988,中电电机,2789472000.0,093910,1,电机
600192,长城电工,2531216040.0,132359,1,电网设备
002077,大港股份,4315384603.42,101236,1,半导体
605050,福然德,2096760000.0,094213,1,物流行业
603009,北特科技,2561755902.9,100233,1,汽车零部
600797,浙大网新,6442594929.54,094919,1,互联网服
002766,索菱股份,4393115612.8,103348,1,互联网服
605258,协和电子,943616300.0,095313,1,电子元件
600520,文一科技,1536771000.0,145551,1,专用设备
002547,春兴精工,4969710249.36,100130,1,消费电子
002527,新时达,4166975264.0,100527,1,专用设备
603003,龙宇燃油,3171254732.72,145250,1,贸易行业
002047,宝鹰股份,5435811816.93,101433,1,装修装饰
002868,绿康生化,2402728840.02,142212,1,农药兽药
